label,auroc,auprc,brier,brier_skill_pct,ece_10bin,cal_slope,cal_intercept,sensitivity,specificity,f1,fitness,threshold,seed,complexity,train_loss,equation,is_selected
GP_c1,0.5,0.1692,0.1406,-0.0,0.0004,-0.0095,-1.6061,0.0,1.0,0.0,0.4998,inf,18,1,0.453978,-1.5938709,False
GP_c3,0.565,0.1972,0.139,1.1,0.0159,0.69,-0.4901,0.3122,0.8179,0.283,0.5571,0.3021,18,3,0.441777,intubated + -1.8371313,False
GP_c4,0.6749,0.3707,0.1276,9.2,0.0226,0.891,-0.1972,0.4868,0.8039,0.3974,0.6636,0.2021,18,4,0.425294,log(lactate_max / gcs_total),False
GP_c5,0.6737,0.3773,0.1269,9.7,0.0137,1.012,0.0018,0.5132,0.7511,0.3752,0.6669,0.1748,18,5,0.424839,(lactate_max + -9.450598) / potassium_max,False
GP_c6,0.6898,0.3764,0.1273,9.4,0.0226,0.9405,-0.1329,0.6825,0.5927,0.3707,0.6785,0.1695,18,6,0.419514,(lactate_max + -11.365043) / sqrt(bun),False
GP_c8,0.7019,0.3892,0.126,10.4,0.0139,1.0216,0.0456,0.6138,0.6972,0.3959,0.6949,0.1709,18,8,0.415248,(sqrt(lactate_max) - 2.0194662) - (map_mean / age_numeric),False
GP_c9,0.7014,0.3653,0.129,8.3,0.0308,0.9546,-0.2589,0.672,0.6487,0.3956,0.686,0.1769,18,9,0.413694,((lactate_max / ph) - pf_ratio_miss) - (map_mean / age_numeric),False
GP_c10,0.7122,0.3799,0.126,10.3,0.0154,0.8633,-0.1989,0.5767,0.7371,0.4022,0.7045,0.1811,18,10,0.40907,((sqrt(lactate_max) - pf_ratio_miss) + -1.4133983) - (map_mean / age_numeric),False
GP_c11,0.7222,0.3926,0.1246,11.4,0.0132,0.9055,-0.1766,0.5397,0.7899,0.4198,0.7156,0.2142,18,11,0.40878,"((lactate_max * 0.17307334) - pf_ratio_miss) - (min(platelets_min, 102.48737) / age_numeric)",False
GP_c12,0.7298,0.4045,0.1234,12.2,0.0268,0.9049,-0.1354,0.6032,0.7252,0.4086,0.7164,0.1704,18,12,0.405387,"((sqrt(lactate_max) - pf_ratio_miss) - (min(platelets_min, map_mean) / age_numeric)) + -1.4869843",False
GP_c13,0.7301,0.4042,0.1236,12.1,0.0284,0.8994,-0.1579,0.6984,0.6369,0.4012,0.7159,0.1466,18,13,0.405025,"((lactate_max * 0.18096988) - pf_ratio_miss) - ((min(map_mean, platelets_min) / age_numeric) * 1.3712472)",False
GP_c14,0.7222,0.402,0.1244,11.5,0.0176,0.962,-0.071,0.6402,0.7123,0.4194,0.7134,0.1727,18,14,0.403383,((lactate_max * 0.19968002) - sqrt(pf_ratio_miss + (gcs_total / bun))) - (map_mean / age_numeric),False
GP_c15,0.7271,0.4021,0.1236,12.0,0.0221,0.7968,-0.2829,0.5556,0.7812,0.4225,0.7161,0.2029,18,15,0.401229,"((lactate_max * 0.18633181) - (pf_ratio_miss + (gcs_total / bun))) - (min(platelets_min, map_mean) / age_numeric)",False
GP_c16,0.7399,0.4196,0.1221,13.1,0.0156,1.0652,0.0649,0.6931,0.6724,0.4199,0.7321,0.1644,18,16,0.399368,"((lactate_max * 0.18100855) - sqrt(pf_ratio_miss + (gcs_total / bun))) - (min(platelets_min, map_mean) / age_numeric)",False
GP_c17,0.7399,0.4268,0.1217,13.4,0.0267,1.0749,0.0344,0.7302,0.625,0.4089,0.7266,0.172,18,17,0.397956,"((lactate_max * 0.16573472) - sqrt(gcs_total * (exp(pf_ratio_miss) / bun))) - (min(platelets_min, map_mean) / age_numeric)",False
GP_c18,0.7374,0.4236,0.1217,13.5,0.0199,0.9665,-0.0682,0.582,0.7597,0.4215,0.7275,0.2048,18,18,0.397041,"((lactate_max * 0.18089107) - ((pf_ratio_miss + 0.9461985) * sqrt(gcs_total / bun))) - (min(platelets_min, map_mean) / age_numeric)",False
GP_c19,0.7351,0.4369,0.1207,14.1,0.0235,0.9611,-0.0463,0.6296,0.7381,0.4319,0.7234,0.1748,18,19,0.39602,"((lactate_max * 0.19902289) - (min(1.8081338, pf_ratio / heartrate) + log(sqrt(gcs_total / bun)))) - (map_mean / age_numeric)",False
GP_c20,0.7519,0.4442,0.12,14.6,0.0261,1.0721,0.0775,0.6772,0.6994,0.4295,0.7389,0.1796,18,20,0.394452,"((lactate_max * 0.18089107) - sqrt(gcs_total * ((pf_ratio_miss + (pf_ratio / heartrate)) / bun))) - (min(map_mean, platelets_min) / age_numeric)",False
GP_c21,0.7507,0.4583,0.1183,15.9,0.0192,1.0345,0.0467,0.6667,0.7177,0.4367,0.7411,0.1691,18,21,0.392489,"((lactate_max * 0.18072836) - (min(1.8119894, pf_ratio / heartrate) + log(sqrt(gcs_total / bun)))) - (min(map_mean, platelets_min) / age_numeric)",False
GP_c23,0.7521,0.4446,0.119,15.4,0.0293,0.9899,-0.0104,0.6455,0.7705,0.4656,0.7374,0.1846,18,23,0.39135,"((lactate_max * 0.1758188) - (min(pf_ratio_miss + 1.4351964, pf_ratio / heartrate) + log(sqrt(gcs_total / bun)))) - (min(platelets_min, map_mean) / age_numeric)",False
GP_c24,0.7525,0.4502,0.1184,15.8,0.0203,1.0356,0.0321,0.6296,0.7694,0.4559,0.7423,0.1808,18,24,0.391308,"((lactate_max * 0.15796818) - (min(1.845752, pf_ratio / heartrate) + log(sqrt(gcs_total / bun)))) - (min(platelets_min, map_mean) / (age_numeric + exp(bilirubin)))",True
