label,auroc,auprc,brier,brier_skill_pct,ece_10bin,cal_slope,cal_intercept,sensitivity,specificity,f1,fitness,threshold,seed,complexity,train_loss,equation,is_selected
GP_c1,0.5,0.1692,0.1406,-0.0,0.0004,-0.0097,-1.6065,0.0,1.0,0.0,0.4998,inf,13,1,0.453978,-1.5941244,False
GP_c3,0.565,0.1972,0.139,1.1,0.0159,0.69,-0.49,0.3122,0.8179,0.283,0.5571,0.3021,13,3,0.441777,intubated + -1.8372586,False
GP_c4,0.6749,0.3707,0.1276,9.2,0.0226,0.891,-0.1972,0.4868,0.8039,0.3974,0.6636,0.2021,13,4,0.425294,log(lactate_max / gcs_total),False
GP_c6,0.6898,0.3764,0.1273,9.4,0.0225,0.9403,-0.1327,0.6825,0.5927,0.3707,0.6785,0.1695,13,6,0.419514,(lactate_max + -11.368436) / sqrt(bun),False
GP_c7,0.696,0.379,0.1267,9.9,0.0165,1.0334,0.0415,0.709,0.5894,0.3807,0.6878,0.1472,13,7,0.418271,log(lactate_max * sqrt(bun)) + -4.1666746,False
GP_c8,0.7079,0.3904,0.1254,10.8,0.0126,0.9873,-0.0243,0.7566,0.5625,0.3875,0.7016,0.1511,13,8,0.414433,(sqrt(lactate_max) + -2.7207906) - (gcs_total / bun),False
GP_c9,0.6981,0.3575,0.1285,8.6,0.0324,0.9783,-0.0561,0.7302,0.5474,0.3695,0.6819,0.1323,13,9,0.413239,(intubated + -4.7619433) + sqrt(sqrt(bun) + lactate_max),False
GP_c10,0.7122,0.3799,0.126,10.3,0.0154,0.8633,-0.1989,0.5767,0.7371,0.4022,0.7045,0.1811,13,10,0.40907,((-1.4133952 - (map_mean / age_numeric)) - pf_ratio_miss) + sqrt(lactate_max),False
GP_c12,0.7298,0.4045,0.1234,12.2,0.0268,0.9049,-0.1353,0.6032,0.7252,0.4086,0.7164,0.1704,13,12,0.405387,"sqrt(lactate_max) + ((-1.4870723 - (min(map_mean, platelets_min) / age_numeric)) - pf_ratio_miss)",False
GP_c13,0.7131,0.3697,0.1271,9.6,0.0165,0.8835,-0.1814,0.7143,0.625,0.4018,0.7048,0.1554,13,13,0.404978,((sqrt(lactate_max + sqrt(bun)) + intubated) - (map_mean / age_numeric)) + -3.599421,False
GP_c14,0.7376,0.4155,0.1227,12.7,0.0129,0.9316,-0.0937,0.6561,0.7026,0.4211,0.7311,0.1669,13,14,0.402236,"((sqrt(lactate_max) - (min(map_mean, platelets_min) / age_numeric)) + max(intubated, vent)) + -2.5122564",False
GP_c15,0.7334,0.3886,0.1246,11.4,0.0257,0.9428,-0.094,0.7513,0.6056,0.4075,0.7206,0.1461,13,15,0.400509,"((intubated + sqrt(lactate_max + sqrt(bun))) - (min(platelets_min, map_mean) / age_numeric)) + -3.6717124",False
GP_c16,0.7375,0.4011,0.1236,12.1,0.0177,0.9207,-0.1238,0.7354,0.6196,0.4082,0.7287,0.1433,13,16,0.400203,"(intubated + -2.8386784) + (sqrt((bun * 0.046734907) + lactate_max) - (min(map_mean, platelets_min) / age_numeric))",False
GP_c17,0.7356,0.4081,0.1231,12.4,0.0085,0.9655,-0.0615,0.6296,0.7177,0.4175,0.7313,0.1845,13,17,0.397868,"(max(vent, intubated) + (-3.843436 - (min(map_mean, platelets_min) / age_numeric))) + sqrt(lactate_max + sqrt(bun))",False
GP_c18,0.741,0.4153,0.1221,13.1,0.0153,0.949,-0.0814,0.5397,0.8319,0.4564,0.7334,0.2247,13,18,0.397277,"max(vent, intubated) + ((-2.9966922 - (min(platelets_min, map_mean) / age_numeric)) + sqrt((bun * 0.04531337) + lactate_max))",False
GP_c19,0.7416,0.4135,0.1225,12.8,0.012,0.9021,-0.1589,0.6561,0.7101,0.4261,0.7356,0.1733,13,19,0.39574,"((max(intubated, vent) + sqrt(lactate_max + (bilirubin + sqrt(bun)))) - (min(map_mean, platelets_min) / age_numeric)) + -4.045135",False
GP_c20,0.7439,0.416,0.122,13.2,0.0169,0.9364,-0.1038,0.6614,0.7166,0.4333,0.7355,0.1758,13,20,0.394539,"((max(intubated, vent) + -3.8123662) + sqrt(lactate_max + sqrt(sqrt(bilirubin) * bun))) - (min(map_mean, platelets_min) / age_numeric)",False
GP_c21,0.7448,0.4169,0.1217,13.4,0.0159,0.9867,-0.0315,0.5873,0.7974,0.4549,0.7368,0.2105,13,21,0.39413,"((-4.6664667 - (min(platelets_min, map_mean) / age_numeric)) + sqrt(lactate_max + sqrt(bun))) + (max(vent, intubated) + (heartrate / sodium))",False
GP_c22,0.7472,0.4153,0.1221,13.2,0.0238,0.9547,-0.0792,0.6349,0.7446,0.4396,0.7353,0.1836,13,22,0.393639,"(sqrt(lactate_max + sqrt(sqrt(bilirubin) * bun)) + -3.7517738) + (max(intubated, min(vent, 0.69190323)) - (min(platelets_min, map_mean) / age_numeric))",False
GP_c23,0.7573,0.4403,0.1186,15.6,0.0209,0.8784,-0.1987,0.6032,0.7996,0.4663,0.7469,0.1954,13,23,0.391892,"(((heartrate / pf_ratio) + sqrt((bilirubin + sqrt(bun)) + lactate_max)) + (max(vent, intubated) + -4.7119)) - (min(platelets_min, map_mean) / age_numeric)",True
GP_c24,0.7585,0.4449,0.1185,15.7,0.0272,0.8999,-0.1615,0.5979,0.8168,0.4788,0.7449,0.2066,13,24,0.39102,"(max(intubated, vent) + (heartrate / pf_ratio)) + ((sqrt(sqrt(sqrt(bilirubin) * bun) + lactate_max) + -4.478817) - (min(map_mean, platelets_min) / age_numeric))",False
