label,auroc,auprc,brier,brier_skill_pct,ece_10bin,cal_slope,cal_intercept,sensitivity,specificity,f1,fitness,threshold,seed,complexity,train_loss,equation,is_selected
GP_c1,0.5,0.1692,0.1406,-0.0,0.0004,-0.0095,-1.6061,0.0,1.0,0.0,0.4998,inf,9,1,0.453978,-1.5938264,False
GP_c3,0.565,0.1972,0.139,1.1,0.0159,0.69,-0.49,0.3122,0.8179,0.283,0.5571,0.3021,9,3,0.441777,intubated + -1.8373291,False
GP_c4,0.6749,0.3707,0.1276,9.2,0.0226,0.891,-0.1972,0.4868,0.8039,0.3974,0.6636,0.2021,9,4,0.425294,log(lactate_max / gcs_total),False
GP_c6,0.6754,0.3511,0.128,8.9,0.0174,0.8689,-0.2102,0.5185,0.7683,0.3904,0.6667,0.2157,9,6,0.420229,(sqrt(lactate_max) - pf_ratio_miss) + -2.5929563,False
GP_c7,0.6913,0.3861,0.1262,10.2,0.0175,1.1433,0.1917,0.6614,0.6519,0.3925,0.6825,0.1632,9,7,0.417845,sqrt(lactate_max) + (log(age_numeric) - ph),False
GP_c8,0.6967,0.3551,0.1283,8.7,0.0204,0.8893,-0.1642,0.6402,0.6509,0.3817,0.6865,0.1509,9,8,0.414723,(log(age_numeric * lactate_max) + intubated) + -6.864903,False
GP_c9,0.6981,0.3669,0.1276,9.3,0.0188,0.9123,-0.1372,0.619,0.6756,0.3855,0.6887,0.1511,9,9,0.412574,(sqrt(lactate_max) + -7.617501) + (intubated + log(age_numeric)),False
GP_c10,0.7049,0.3576,0.1279,9.0,0.0254,0.9744,-0.0479,0.7037,0.5927,0.38,0.6922,0.1425,9,10,0.410165,(intubated + log((lactate_max * age_numeric) + bun)) + -7.0875835,False
GP_c11,0.71,0.3759,0.1265,10.0,0.0307,0.9031,-0.1588,0.582,0.7091,0.3866,0.6947,0.1625,9,11,0.408213,(sqrt(lactate_max) + intubated) + (log(bun + age_numeric) + -8.05654),False
GP_c12,0.7129,0.3689,0.1267,9.8,0.0171,0.9181,-0.1389,0.5344,0.7737,0.404,0.7043,0.194,9,12,0.40666,(log((bilirubin * bun) + (age_numeric * lactate_max)) + intubated) + -7.096909,False
GP_c13,0.7172,0.3866,0.1256,10.7,0.0114,0.9137,-0.1397,0.4656,0.861,0.4335,0.7115,0.2431,9,13,0.405952,"max(vent, intubated) + ((log(bun + age_numeric) + -8.231982) + sqrt(lactate_max))",False
GP_c14,0.7163,0.3863,0.126,10.4,0.0258,0.8675,-0.2165,0.4709,0.8448,0.4218,0.7034,0.2294,9,14,0.405183,(sqrt(lactate_max) + log((bun * sqrt(bilirubin)) + age_numeric)) + (intubated + -8.048676),False
GP_c15,0.7249,0.3892,0.1263,10.1,0.0284,0.7766,-0.3492,0.5714,0.7812,0.432,0.7107,0.1983,9,15,0.403851,"max(vent, intubated) + ((sqrt(lactate_max) + log(age_numeric + (bilirubin * bun))) + -8.251389)",False
GP_c16,0.7261,0.3955,0.1248,11.2,0.0156,0.8913,-0.1782,0.6032,0.7586,0.4326,0.7183,0.1957,9,16,0.402559,"((sqrt(lactate_max) + log((bun * sqrt(bilirubin)) + age_numeric)) + -8.222806) + max(intubated, vent)",False
GP_c17,0.7237,0.3836,0.1261,10.3,0.0201,0.8838,-0.1962,0.5767,0.7737,0.4291,0.7137,0.1914,9,17,0.402061,"log(age_numeric + (bilirubin * bun)) + (((max(intubated, vent) + sqrt(lactate_max)) / 1.2630228) + -7.807043)",False
GP_c18,0.7244,0.3942,0.1256,10.7,0.0168,0.7897,-0.3388,0.6138,0.7317,0.4188,0.716,0.1821,9,18,0.40051,"sqrt(lactate_max) + ((log((sqrt(bilirubin) * bun) + age_numeric) * 1.6077127) + (max(intubated, vent) + -11.032259))",False
GP_c20,0.7246,0.4042,0.1238,11.9,0.0154,0.9839,-0.0445,0.5291,0.8211,0.4396,0.7169,0.2166,9,20,0.40025,"sqrt(sqrt(bilirubin)) + (sqrt(((((lactate_max * 0.32611874) + max(intubated, vent)) * age_numeric) + bun) * 0.06656774) + -5.386226)",False
GP_c21,0.7239,0.4036,0.1239,11.9,0.0165,0.9597,-0.0825,0.5291,0.8211,0.4396,0.7156,0.2148,9,21,0.400152,"sqrt(((age_numeric * (max(vent, intubated) + (lactate_max * 0.32536665))) + bun) * 0.067052044) + (sqrt(bilirubin * 0.19411811) + -4.8613753)",False
GP_c22,0.7347,0.4045,0.1235,12.1,0.0202,0.9282,-0.1365,0.5608,0.8114,0.4511,0.7246,0.2074,9,22,0.398061,"sqrt(sqrt(heartrate) + bilirubin) + ((sqrt(bun + (age_numeric * ((lactate_max * 0.3121981) + max(intubated, vent)))) * 0.26156393) + -7.852779)",False
GP_c24,0.7334,0.398,0.1245,11.5,0.0154,0.8991,-0.1803,0.6561,0.7144,0.4291,0.7257,0.1689,9,24,0.396468,"sqrt(bilirubin + sqrt(heartrate)) + ((sqrt(bun + (age_numeric * ((lactate_max * 0.25207472) + max(vent, intubated + 0.45204124)))) * 0.3139139) + -8.647005)",True
