label,auroc,auprc,brier,brier_skill_pct,ece_10bin,cal_slope,cal_intercept,sensitivity,specificity,f1,fitness,threshold,seed,complexity,train_loss,equation,is_selected
GP_c1,0.5,0.1692,0.1406,-0.0,0.0003,-0.0094,-1.6059,0.0,1.0,0.0,0.4998,inf,5,1,0.453978,-1.5937344,False
GP_c3,0.565,0.1972,0.139,1.1,0.0159,0.69,-0.49,0.3122,0.8179,0.283,0.5571,0.3021,5,3,0.441777,intubated + -1.837349,False
GP_c4,0.6749,0.3707,0.1276,9.2,0.0226,0.891,-0.1972,0.4868,0.8039,0.3974,0.6636,0.2021,5,4,0.425294,log(lactate_max / gcs_total),False
GP_c6,0.6754,0.3511,0.128,8.9,0.0174,0.8689,-0.2101,0.5185,0.7683,0.3904,0.6667,0.2157,5,6,0.420229,(sqrt(lactate_max) + -2.5930653) - pf_ratio_miss,False
GP_c7,0.6829,0.3737,0.1272,9.5,0.0138,1.1318,0.2041,0.6508,0.6228,0.3716,0.676,0.1577,5,7,0.418768,-7.3676167 + (sqrt(lactate_max) + log(age_numeric)),False
GP_c8,0.7079,0.3904,0.1254,10.8,0.0126,0.9873,-0.0243,0.7566,0.5625,0.3875,0.7016,0.1511,5,8,0.414433,(sqrt(lactate_max) + -2.7207975) - (gcs_total / bun),False
GP_c9,0.6981,0.3669,0.1276,9.3,0.0188,0.9123,-0.1372,0.619,0.6756,0.3855,0.6887,0.1511,5,9,0.412574,(intubated + sqrt(lactate_max)) + (log(age_numeric) + -7.6174226),False
GP_c10,0.7122,0.3799,0.126,10.3,0.0154,0.8633,-0.1989,0.5767,0.7371,0.4022,0.7045,0.1811,5,10,0.40907,((sqrt(lactate_max) + -1.4134066) - pf_ratio_miss) - (map_mean / age_numeric),False
GP_c11,0.6997,0.3582,0.1284,8.7,0.0185,0.8571,-0.285,0.6085,0.6746,0.3795,0.6904,0.1745,5,11,0.407303,((lactate_max * 0.17127015) - pf_ratio_miss) - (sodium / (age_numeric + bun)),False
GP_c12,0.7298,0.4045,0.1234,12.2,0.0268,0.9049,-0.1353,0.6032,0.7252,0.4086,0.7164,0.1704,5,12,0.405387,"sqrt(lactate_max) + ((-1.4870658 - pf_ratio_miss) - (min(map_mean, platelets_min) / age_numeric))",False
GP_c13,0.7106,0.3728,0.1268,9.8,0.0228,0.792,-0.3135,0.7037,0.6013,0.3844,0.6992,0.1459,5,13,0.403287,((lactate_max * 0.18900664) - pf_ratio_miss) - ((map_mean * 2.0218778) / (age_numeric + bun)),False
GP_c14,0.7105,0.3726,0.1267,9.8,0.0233,0.8008,-0.3081,0.7037,0.6013,0.3844,0.6989,0.1468,5,14,0.403253,((lactate_max * 0.18516257) - pf_ratio_miss) - ((map_mean * log(ph)) / (age_numeric + bun)),False
GP_c15,0.7292,0.3939,0.1242,11.6,0.0158,0.8518,-0.2216,0.5344,0.7931,0.4191,0.7213,0.2099,5,15,0.400109,"((lactate_max * 0.17514725) - pf_ratio_miss) - ((min(platelets_min, map_mean) * 2.0968597) / (age_numeric + bun))",False
GP_c16,0.7242,0.4177,0.1229,12.6,0.0189,0.9132,-0.142,0.6825,0.6746,0.4161,0.7148,0.1739,5,16,0.39987,"((lactate_max * 0.19595292) + -0.5187309) - (min(pf_ratio, map_mean * log(gcs_total)) / (age_numeric + bun))",False
GP_c17,0.7348,0.4094,0.1227,12.7,0.0136,0.9567,-0.0609,0.7249,0.6153,0.4012,0.728,0.1502,5,17,0.398624,"((lactate_max * 0.18743116) - max(0.31074828, pf_ratio_miss)) - (min(platelets_min, map_mean) * (1.9617965 / (bun + age_numeric)))",False
GP_c18,0.7396,0.4345,0.1207,14.2,0.0216,0.9978,-0.0086,0.7143,0.6541,0.4186,0.7288,0.1624,5,18,0.39784,"((lactate_max * 0.1871382) - (min(log(gcs_total) * min(platelets_min, map_mean), pf_ratio) / (age_numeric + bun))) + -0.5835567",False
GP_c19,0.742,0.4168,0.1219,13.3,0.0141,0.9486,-0.0815,0.5873,0.7877,0.4467,0.735,0.2048,5,19,0.395598,"min(-0.20738256, vent - pf_ratio_miss) + ((lactate_max * 0.18079473) - ((min(platelets_min, map_mean) / (bun + age_numeric)) * 2.1236188))",False
GP_c21,0.7437,0.4278,0.1206,14.2,0.0159,1.0001,-0.019,0.5503,0.8211,0.4532,0.7358,0.222,5,21,0.393602,"(min(-0.3592354, vent - pf_ratio_miss) + (lactate_max * 0.17851973)) - (min(min(platelets_min, map_mean) * 2.123863, pf_ratio) / (bun + age_numeric))",False
GP_c23,0.7476,0.432,0.1201,14.6,0.0146,1.0064,-0.01,0.5661,0.8114,0.4544,0.7403,0.2181,5,23,0.392702,"(lactate_max * 0.17544416) + (min(vent - pf_ratio_miss, -0.35224095) - (min((min(platelets_min, map_mean) - bilirubin) * 2.1626244, pf_ratio) / (bun + age_numeric)))",True
GP_c24,0.7476,0.4319,0.1201,14.6,0.0158,1.0048,-0.0117,0.5608,0.8147,0.454,0.7397,0.2193,5,24,0.392693,"((lactate_max * 0.17559318) + min(vent - pf_ratio_miss, -0.35051972)) - abs(min((min(platelets_min, map_mean) - bilirubin) * 2.1667013, pf_ratio) / (bun + age_numeric))",False
