label,auroc,auprc,brier,brier_skill_pct,ece_10bin,cal_slope,cal_intercept,sensitivity,specificity,f1,fitness,threshold,seed,complexity,train_loss,equation,is_selected
GP_c1,0.5,0.1692,0.1406,-0.0,0.0004,-0.0096,-1.6063,0.0,1.0,0.0,0.4998,inf,15,1,0.453978,-1.593957,False
GP_c3,0.565,0.1972,0.139,1.1,0.0159,0.69,-0.49,0.3122,0.8179,0.283,0.5571,0.3021,15,3,0.441777,intubated + -1.8373394,False
GP_c4,0.6749,0.3707,0.1276,9.2,0.0226,0.891,-0.1972,0.4868,0.8039,0.3974,0.6636,0.2021,15,4,0.425294,log(lactate_max / gcs_total),False
GP_c5,0.6737,0.3773,0.1269,9.7,0.0137,1.012,0.0018,0.5132,0.7511,0.3752,0.6669,0.1748,15,5,0.424839,(lactate_max + -9.450621) / potassium_max,False
GP_c6,0.6898,0.3764,0.1273,9.4,0.0225,0.9403,-0.1327,0.6825,0.5927,0.3707,0.6785,0.1695,15,6,0.419514,(lactate_max - 11.36845) / sqrt(bun),False
GP_c7,0.6913,0.3861,0.1262,10.2,0.0175,1.1433,0.1917,0.6614,0.6519,0.3925,0.6825,0.1632,15,7,0.417845,sqrt(lactate_max) + (log(age_numeric) - ph),False
GP_c8,0.7046,0.3905,0.1259,10.4,0.0176,0.8921,-0.1848,0.5344,0.7802,0.4089,0.6958,0.1918,15,8,0.415344,(lactate_max - (map_mean / sqrt(age_numeric))) * 0.24688384,False
GP_c9,0.6981,0.3669,0.1276,9.3,0.0188,0.9123,-0.1372,0.619,0.6756,0.3855,0.6887,0.1511,15,9,0.412574,log(age_numeric) + (intubated + (sqrt(lactate_max) - 7.6175003)),False
GP_c10,0.7034,0.363,0.1275,9.3,0.0199,0.9804,-0.0224,0.6243,0.7004,0.4034,0.6934,0.168,15,10,0.411573,((lactate_max - (map_mean * 0.23879574)) / sqrt(age_numeric)) + intubated,False
GP_c11,0.7105,0.372,0.1275,9.3,0.0194,0.8235,-0.277,0.6667,0.6487,0.3931,0.7008,0.1373,15,11,0.410289,log(age_numeric) + ((intubated + sqrt(bilirubin + lactate_max)) - 7.9504795),False
GP_c12,0.7035,0.3518,0.1282,8.8,0.0183,0.9534,-0.0904,0.709,0.611,0.3918,0.6944,0.1513,15,12,0.407479,(sqrt(sqrt(bun) + lactate_max) + (intubated - 8.941802)) + log(age_numeric),False
GP_c13,0.7057,0.369,0.1273,9.5,0.0118,0.8762,-0.2065,0.7989,0.5129,0.3813,0.6998,0.1253,15,13,0.406661,(log(age_numeric) + (intubated + ((lactate_max + sqrt(bun)) * 0.18728115))) - 7.6770606,False
GP_c14,0.712,0.363,0.1274,9.4,0.0191,0.8861,-0.1974,0.7249,0.5884,0.387,0.7024,0.1408,15,14,0.404215,((log(age_numeric) + intubated) + sqrt((bilirubin + lactate_max) + sqrt(bun))) - 9.141363,False
GP_c16,0.7183,0.3827,0.1261,10.3,0.0235,0.9082,-0.1894,0.7831,0.5323,0.3839,0.7065,0.1301,15,16,0.402251,(((lactate_max + sqrt(sqrt(bilirubin) * bun)) * 0.1555864) + log(age_numeric)) + (intubated - ph),False
GP_c18,0.7222,0.3933,0.1251,11.0,0.0204,0.9699,-0.0931,0.5397,0.7996,0.4277,0.712,0.1987,15,18,0.401331,((lactate_max + sqrt(sqrt(bilirubin) * bun)) * 0.1631877) + ((log(age_numeric) - ph) + (intubated * 0.73092866)),False
GP_c19,0.7229,0.3979,0.1246,11.4,0.0131,0.9637,-0.0804,0.545,0.7899,0.423,0.7163,0.191,15,19,0.400829,((((sqrt(bun * sqrt(bilirubin)) + lactate_max) + sqrt(respiratoryrate * intubated)) * 0.15818097) + log(age_numeric)) - ph,False
GP_c20,0.7235,0.4019,0.1242,11.6,0.015,0.9751,-0.069,0.5238,0.8039,0.4213,0.716,0.1973,15,20,0.400562,"(log(age_numeric) + (((lactate_max + sqrt(bun * sqrt(bilirubin))) * 0.16215242) + min(intubated, respiratoryrate * 0.025864378))) - ph",False
GP_c21,0.7301,0.411,0.1233,12.3,0.0172,1.0394,-0.0049,0.6402,0.7338,0.4345,0.7215,0.1804,15,21,0.399457,(((lactate_max + ((vent + intubated) * log(respiratoryrate))) + sqrt(sqrt(bilirubin) * bun)) * 0.15147059) + (log(age_numeric) - ph),False
GP_c22,0.7311,0.3984,0.124,11.8,0.0187,0.977,-0.0816,0.6455,0.7241,0.4303,0.7218,0.1719,15,22,0.399151,(((lactate_max + (sqrt(sqrt(bilirubin)) * ((log(respiratoryrate) * (vent + intubated)) + sqrt(bun)))) * 0.15111013) + log(age_numeric)) - ph,False
GP_c23,0.7301,0.411,0.1234,12.3,0.0128,0.954,-0.099,0.6296,0.7478,0.4391,0.7238,0.1785,15,23,0.399083,((log(age_numeric) - ph) / 0.94289315) + (((((intubated + vent) * log(respiratoryrate)) + lactate_max) + sqrt(sqrt(bilirubin) * bun)) * 0.16569899),True
GP_c24,0.7312,0.3989,0.1241,11.7,0.0148,0.925,-0.1387,0.6349,0.736,0.4332,0.7238,0.1702,15,24,0.398994,((((((intubated + vent) * log(respiratoryrate)) + sqrt(bun)) * sqrt(sqrt(bilirubin))) + lactate_max) * 0.15999274) + ((log(age_numeric) - ph) / 0.96340847),False
