label,auroc,auprc,brier,brier_skill_pct,ece_10bin,cal_slope,cal_intercept,sensitivity,specificity,f1,fitness,threshold,seed,complexity,train_loss,equation,is_selected
GP_c1,0.5,0.1692,0.1406,-0.0,0.0004,-0.0098,-1.6066,0.0,1.0,0.0,0.4998,inf,23,1,0.453978,-1.5941662,False
GP_c3,0.565,0.1972,0.139,1.1,0.0159,0.69,-0.49,0.3122,0.8179,0.283,0.5571,0.3021,23,3,0.441777,intubated + -1.8372694,False
GP_c4,0.6749,0.3707,0.1276,9.2,0.0226,0.891,-0.1972,0.4868,0.8039,0.3974,0.6636,0.2021,23,4,0.425294,log(lactate_max / gcs_total),False
GP_c5,0.6737,0.3773,0.1269,9.7,0.0137,1.012,0.0018,0.5132,0.7511,0.3752,0.6669,0.1748,23,5,0.424839,(lactate_max + -9.450603) / potassium_max,False
GP_c6,0.6754,0.3511,0.128,8.9,0.0174,0.8689,-0.21,0.5185,0.7683,0.3904,0.6667,0.2157,23,6,0.420229,sqrt(lactate_max) + (-2.5931926 - pf_ratio_miss),False
GP_c7,0.7131,0.3876,0.1258,10.5,0.0221,1.0266,0.1659,0.5926,0.7403,0.4133,0.7021,0.165,23,7,0.415822,log(lactate_max * (sqrt(bun) / map_mean)),False
GP_c8,0.7079,0.3904,0.1254,10.8,0.0126,0.9873,-0.0243,0.7566,0.5625,0.3875,0.7016,0.1511,23,8,0.414433,sqrt(lactate_max) + (-2.7207894 - (gcs_total / bun)),False
GP_c9,0.7286,0.4003,0.1243,11.6,0.0155,1.1302,0.1776,0.6825,0.681,0.4202,0.7209,0.1696,23,9,0.410076,log((lactate_max + vent) / (map_mean / sqrt(bun))),False
GP_c10,0.7186,0.3865,0.125,11.1,0.0154,0.9883,-0.0163,0.6349,0.681,0.3967,0.7109,0.165,23,10,0.409929,log(lactate_max * (sqrt(bun * exp(intubated)) / map_mean)),False
GP_c11,0.7308,0.3976,0.1242,11.7,0.0174,1.1224,0.0888,0.7354,0.6196,0.4082,0.722,0.165,23,11,0.407653,log(((intubated + lactate_max) + vent) / (map_mean / sqrt(bun))),False
GP_c12,0.7271,0.3798,0.1258,10.5,0.0227,0.9616,-0.0061,0.5132,0.8179,0.4264,0.7158,0.1961,23,12,0.40728,log((lactate_max + bilirubin) / (map_mean / sqrt(bun / exp(pf_ratio_miss)))),False
GP_c13,0.7297,0.3904,0.1247,11.3,0.0118,0.8774,-0.1537,0.7778,0.569,0.3995,0.7237,0.1297,23,13,0.405512,log((intubated + (age_numeric / map_mean)) * (lactate_max / (map_mean / sqrt(bun)))),False
GP_c14,0.7328,0.3836,0.1252,10.9,0.0151,0.9924,-0.0651,0.5556,0.8071,0.444,0.7253,0.2147,23,14,0.404733,log(((lactate_max + vent) + bilirubin) / (map_mean / sqrt(bun / exp(pf_ratio_miss)))),False
GP_c15,0.7445,0.4141,0.122,13.2,0.0184,0.964,-0.0582,0.8095,0.5582,0.4069,0.7353,0.13,23,15,0.402669,"log((vent + lactate_max) / (map_mean / (age_numeric * (sqrt(bun) / min(map_mean, platelets_min)))))",False
GP_c17,0.7488,0.4132,0.122,13.2,0.0157,0.9698,-0.1134,0.8571,0.5248,0.4091,0.7409,0.13,23,17,0.399881,"log(((vent + intubated) + lactate_max) / (map_mean / ((age_numeric / min(platelets_min, map_mean)) * sqrt(bun))))",False
GP_c19,0.7537,0.4318,0.1199,14.7,0.0171,0.9833,-0.1333,0.6243,0.7565,0.4428,0.7451,0.2004,23,19,0.397954,"log((lactate_max + vent) / (min(map_mean, platelets_min) / (age_numeric * (sqrt(bun) / min(pf_ratio * 0.43379113, map_mean)))))",True
GP_c21,0.7506,0.4359,0.1194,15.0,0.0129,1.0065,-0.0007,0.5926,0.7856,0.448,0.7441,0.1941,23,21,0.39535,"log((lactate_max + vent) / (min(map_mean, pf_ratio * 0.3629848) / (age_numeric * (sqrt(bun) / (min(platelets_min, map_mean) + gcs_total)))))",False
GP_c23,0.754,0.4286,0.1197,14.8,0.019,0.9875,-0.0468,0.582,0.7866,0.4427,0.7446,0.2031,23,23,0.393635,"log((vent + (intubated + lactate_max)) / (min(map_mean, pf_ratio * 0.40493038) / ((sqrt(bun) * age_numeric) / (gcs_total + min(platelets_min, map_mean)))))",False
GP_c24,0.7538,0.4349,0.1194,15.1,0.0176,1.0052,-0.004,0.6296,0.7543,0.444,0.745,0.1834,23,24,0.39351,"log((sqrt(vent + intubated) + lactate_max) / (min(map_mean, pf_ratio * 0.38952786) / ((sqrt(bun) * age_numeric) / (gcs_total + min(platelets_min, map_mean)))))",False
