label,auroc,auprc,brier,brier_skill_pct,ece_10bin,cal_slope,cal_intercept,sensitivity,specificity,f1,fitness,threshold,seed,complexity,train_loss,equation,is_selected
GP_c1,0.5,0.1692,0.1406,-0.0,0.0004,-0.0097,-1.6064,0.0,1.0,0.0,0.4998,inf,27,1,0.453978,-1.5940546,False
GP_c3,0.565,0.1972,0.139,1.1,0.0159,0.69,-0.49,0.3122,0.8179,0.283,0.5571,0.3021,27,3,0.441777,intubated - 1.837317,False
GP_c4,0.6749,0.3707,0.1276,9.2,0.0226,0.891,-0.1972,0.4868,0.8039,0.3974,0.6636,0.2021,27,4,0.425294,log(lactate_max / gcs_total),False
GP_c6,0.6754,0.3511,0.128,8.9,0.0174,0.8689,-0.2103,0.5185,0.7683,0.3904,0.6667,0.2157,27,6,0.420229,sqrt(lactate_max) - (pf_ratio_miss + 2.592906),False
GP_c7,0.7131,0.3876,0.1258,10.5,0.0221,1.0266,0.1659,0.5926,0.7403,0.4133,0.7021,0.165,27,7,0.415822,log((lactate_max * sqrt(bun)) / map_mean),False
GP_c8,0.7066,0.3934,0.125,11.1,0.0158,0.9328,-0.0115,0.5926,0.7328,0.408,0.6987,0.1624,27,8,0.414502,log(lactate_max * ((age_numeric / map_mean) / gcs_total)),False
GP_c9,0.7286,0.4003,0.1243,11.6,0.0155,1.1302,0.1776,0.6825,0.681,0.4202,0.7209,0.1696,27,9,0.410076,log(sqrt(bun) * ((vent + lactate_max) / map_mean)),False
GP_c10,0.7186,0.3865,0.125,11.1,0.0154,0.9883,-0.0163,0.6349,0.681,0.3967,0.7109,0.165,27,10,0.409929,log(lactate_max * (sqrt(exp(intubated) * bun) / map_mean)),False
GP_c11,0.7308,0.3976,0.1242,11.7,0.0174,1.1224,0.0888,0.7354,0.6196,0.4082,0.722,0.165,27,11,0.407653,log((((vent + intubated) + lactate_max) * sqrt(bun)) / map_mean),False
GP_c12,0.7253,0.3747,0.1262,10.2,0.0174,0.957,-0.0623,0.6508,0.6843,0.4066,0.7166,0.1534,27,12,0.407226,intubated + log(age_numeric * (((lactate_max + bilirubin) / map_mean) * 0.05298509)),False
GP_c13,0.7184,0.3693,0.127,9.7,0.0327,0.8563,-0.2223,0.7672,0.5474,0.3846,0.7021,0.129,27,13,0.404467,intubated + log((sqrt(bun) * (age_numeric / 7902.062)) * (lactate_max + bilirubin)),False
GP_c14,0.732,0.3916,0.1247,11.3,0.0093,0.9924,-0.0108,0.6296,0.7166,0.4168,0.7274,0.1765,27,14,0.403898,"max(vent, intubated) + log(((lactate_max + bilirubin) * age_numeric) / (map_mean * 22.356808))",False
GP_c15,0.7299,0.376,0.1261,10.3,0.0387,0.8523,-0.2225,0.7989,0.5388,0.3932,0.7106,0.1208,27,15,0.40206,log(((lactate_max + bilirubin) * (age_numeric / (map_mean * 108.316345))) * sqrt(bun)) + intubated,False
GP_c16,0.7286,0.3764,0.1258,10.5,0.0247,0.9251,-0.1191,0.709,0.6369,0.4061,0.7162,0.1538,27,16,0.40179,log((((lactate_max + sqrt(bilirubin)) * (sqrt(bun) * 0.009398915)) / map_mean) * age_numeric) + intubated,False
