label,auroc,auprc,brier,brier_skill_pct,ece_10bin,cal_slope,cal_intercept,sensitivity,specificity,f1,fitness,threshold,seed,complexity,train_loss,equation,is_selected
GP_c1,0.5,0.1692,0.1406,-0.0,0.0004,-0.0098,-1.6066,0.0,1.0,0.0,0.4998,inf,2,1,0.453978,-1.5941694,False
GP_c3,0.565,0.1972,0.139,1.1,0.0159,0.69,-0.4903,0.3122,0.8179,0.283,0.5571,0.3022,2,3,0.441777,intubated + -1.8369911,False
GP_c4,0.6749,0.3707,0.1276,9.2,0.0226,0.891,-0.1972,0.4868,0.8039,0.3974,0.6636,0.2021,2,4,0.425294,log(lactate_max / gcs_total),False
GP_c6,0.6754,0.3511,0.128,8.9,0.0174,0.8689,-0.21,0.5185,0.7683,0.3904,0.6667,0.2157,2,6,0.420229,(sqrt(lactate_max) + -2.5932148) - pf_ratio_miss,False
GP_c7,0.7131,0.3876,0.1258,10.5,0.0221,1.0266,0.1659,0.5926,0.7403,0.4133,0.7021,0.165,2,7,0.415822,log(lactate_max * (sqrt(bun) / map_mean)),False
GP_c8,0.7066,0.3934,0.125,11.1,0.0158,0.9328,-0.0115,0.5926,0.7328,0.408,0.6987,0.1624,2,8,0.414502,log((lactate_max * (age_numeric / gcs_total)) / map_mean),False
GP_c9,0.7286,0.4003,0.1243,11.6,0.0155,1.1302,0.1776,0.6825,0.681,0.4202,0.7209,0.1696,2,9,0.410076,log(sqrt(bun) * ((vent + lactate_max) / map_mean)),False
GP_c10,0.7186,0.3865,0.125,11.1,0.0154,0.9883,-0.0163,0.6349,0.681,0.3967,0.7109,0.165,2,10,0.409929,log((lactate_max * sqrt(bun * exp(intubated))) / map_mean),False
GP_c11,0.7308,0.3976,0.1242,11.7,0.0174,1.1224,0.0888,0.7354,0.6196,0.4082,0.722,0.165,2,11,0.407653,log(sqrt(bun) * ((lactate_max + (intubated + vent)) / map_mean)),False
GP_c12,0.7314,0.4009,0.1242,11.6,0.018,1.1688,0.2031,0.7037,0.6681,0.4222,0.7224,0.1696,2,12,0.407626,"log((sqrt(bun) * max(vent + lactate_max, exp(intubated))) / map_mean)",False
GP_c13,0.7358,0.4243,0.1213,13.7,0.0154,1.0467,0.0331,0.5714,0.7888,0.4381,0.7282,0.2066,2,13,0.404114,log((lactate_max + vent) * (sqrt(bun) / pf_ratio)) + (age_numeric / map_mean),False
GP_c15,0.7388,0.416,0.1216,13.5,0.0203,1.0302,-0.0581,0.5714,0.7866,0.4364,0.7287,0.2171,2,15,0.402176,(age_numeric / map_mean) + log(((vent + intubated) + lactate_max) * (sqrt(bun) / pf_ratio)),False
GP_c16,0.7442,0.4232,0.1207,14.2,0.0195,1.0073,0.0185,0.582,0.7942,0.449,0.7345,0.1981,2,16,0.401118,(age_numeric / map_mean) + log((sqrt(sqrt(bilirubin) * bun) / pf_ratio) * (lactate_max + vent)),False
GP_c17,0.7467,0.4126,0.1217,13.5,0.0209,0.8974,-0.1697,0.5291,0.8373,0.4545,0.7363,0.2318,2,17,0.400038,log((lactate_max + (intubated + vent)) * (sqrt(bilirubin * bun) / pf_ratio)) + (age_numeric / map_mean),False
GP_c18,0.7468,0.4193,0.1207,14.1,0.0153,0.9964,-0.0628,0.5926,0.7856,0.448,0.7391,0.2101,2,18,0.398768,(age_numeric / map_mean) + log((sqrt(bun * sqrt(bilirubin)) / pf_ratio) * (lactate_max + (intubated + vent))),True
GP_c19,0.7466,0.4233,0.1206,14.2,0.016,1.0342,0.0316,0.6032,0.7672,0.4393,0.7386,0.1914,2,19,0.39841,"log((sqrt(bun * sqrt(bilirubin)) / pf_ratio) * max(vent + lactate_max, exp(intubated))) + (age_numeric / map_mean)",False
GP_c20,0.746,0.4187,0.1209,14.0,0.019,1.0356,-0.0398,0.5926,0.7845,0.4471,0.7365,0.2101,2,20,0.397591,"log((sqrt(bun * sqrt(bilirubin)) / pf_ratio) * (intubated + max(1.4999739, vent + lactate_max))) + (age_numeric / map_mean)",False
GP_c21,0.743,0.4035,0.1226,12.8,0.0204,0.9804,-0.0519,0.5291,0.8351,0.4525,0.7328,0.2249,2,21,0.397096,"(age_numeric / map_mean) + log((max(1.9299115, lactate_max) + vent) * (sqrt(bun * ((bilirubin + intubated) / pf_ratio)) * 0.065047964))",False
GP_c22,0.7441,0.4156,0.122,13.2,0.0234,1.1063,0.1216,0.6296,0.7381,0.4319,0.7324,0.1914,2,22,0.396402,"log((intubated + (sqrt((sqrt(bilirubin) * bun) / pf_ratio) * max(1.6346117, lactate_max + vent))) * 0.063848875) + (age_numeric / map_mean)",False
GP_c23,0.7367,0.4029,0.1228,12.6,0.0151,0.9873,-0.0403,0.6349,0.7209,0.4225,0.7292,0.176,2,23,0.39559,"(age_numeric / map_mean) + log((sqrt((bun * (intubated + bilirubin)) / pf_ratio) * (vent + max(respiratoryrate * 0.066666886, lactate_max))) * 0.06061512)",False
GP_c24,0.7355,0.403,0.123,12.5,0.0141,0.9433,-0.0987,0.6825,0.6778,0.4182,0.7285,0.1585,2,24,0.395094,"log(sqrt(bun / pf_ratio) * ((((intubated + sqrt(bilirubin)) * max(lactate_max, respiratoryrate * 0.066782884)) + vent) * 0.056296203)) + (age_numeric / map_mean)",False
