label,auroc,auprc,brier,brier_skill_pct,ece_10bin,cal_slope,cal_intercept,sensitivity,specificity,f1,fitness,threshold,seed,complexity,train_loss,equation,is_selected
GP_c1,0.5,0.1692,0.1406,-0.0,0.0004,-0.0098,-1.6066,0.0,1.0,0.0,0.4998,inf,17,1,0.453978,-1.5941626,False
GP_c3,0.565,0.1972,0.139,1.1,0.0159,0.69,-0.4901,0.3122,0.8179,0.283,0.5571,0.3021,17,3,0.441777,intubated + -1.8371985,False
GP_c4,0.6749,0.3707,0.1276,9.2,0.0226,0.891,-0.1972,0.4868,0.8039,0.3974,0.6636,0.2021,17,4,0.425294,log(lactate_max / gcs_total),False
GP_c5,0.6737,0.3773,0.1269,9.7,0.0137,1.012,0.0018,0.5132,0.7511,0.3752,0.6669,0.1748,17,5,0.424839,(lactate_max + -9.450605) / potassium_max,False
GP_c6,0.6898,0.3764,0.1273,9.4,0.0225,0.9403,-0.1327,0.6825,0.5927,0.3707,0.6785,0.1695,17,6,0.419514,(-11.368214 + lactate_max) / sqrt(bun),False
GP_c7,0.696,0.379,0.1267,9.9,0.0165,1.0334,0.0414,0.709,0.5894,0.3807,0.6878,0.1472,17,7,0.418271,log(lactate_max * sqrt(bun)) + -4.1666465,False
GP_c8,0.7066,0.3934,0.125,11.1,0.0158,0.9328,-0.0115,0.5926,0.7328,0.408,0.6987,0.1624,17,8,0.414502,log((lactate_max * (age_numeric / map_mean)) / gcs_total),False
GP_c9,0.6981,0.3669,0.1276,9.3,0.0188,0.9123,-0.1372,0.619,0.6756,0.3855,0.6887,0.1511,17,9,0.412574,(sqrt(lactate_max) + (intubated + -7.6175003)) + log(age_numeric),False
GP_c10,0.7137,0.3652,0.1269,9.8,0.0226,0.8928,-0.1609,0.6508,0.6703,0.3981,0.7024,0.1552,17,10,0.409108,(-2.4779477 + (age_numeric / (map_mean / sqrt(lactate_max)))) - pf_ratio_miss,False
GP_c12,0.7247,0.383,0.1263,10.2,0.0261,0.8321,-0.2626,0.6825,0.6584,0.4063,0.7117,0.1513,17,12,0.406332,(intubated + (((age_numeric + bun) / map_mean) + sqrt(lactate_max))) - 4.93004,False
GP_c13,0.7182,0.3662,0.1268,9.8,0.0153,0.993,-0.0299,0.6984,0.6412,0.4037,0.7105,0.1547,17,13,0.405308,(intubated + ((age_numeric / map_mean) + sqrt(sqrt(bun) + lactate_max))) + -5.6935,False
GP_c14,0.7215,0.3716,0.1267,9.8,0.0304,0.8255,-0.2629,0.8307,0.514,0.394,0.7063,0.1142,17,14,0.404121,((((age_numeric / map_mean) * sqrt(lactate_max)) + -5.079648) + intubated) + log(sqrt(bun)),False
