label,auroc,auprc,brier,brier_skill_pct,ece_10bin,cal_slope,cal_intercept,sensitivity,specificity,f1,fitness,threshold,seed,complexity,train_loss,equation,is_selected
GP_c1,0.5,0.1692,0.1406,-0.0,0.0004,-0.0098,-1.6066,0.0,1.0,0.0,0.4998,inf,24,1,0.453978,-1.5941489,False
GP_c3,0.565,0.1972,0.139,1.1,0.0159,0.69,-0.49,0.3122,0.8179,0.283,0.5571,0.3021,24,3,0.441777,intubated + -1.837333,False
GP_c4,0.6749,0.3707,0.1276,9.2,0.0226,0.891,-0.1972,0.4868,0.8039,0.3974,0.6636,0.2021,24,4,0.425294,log(lactate_max / gcs_total),False
GP_c6,0.6754,0.3511,0.128,8.9,0.0174,0.8689,-0.21,0.5185,0.7683,0.3904,0.6667,0.2157,24,6,0.420229,sqrt(lactate_max) + (-2.5932148 - pf_ratio_miss),False
GP_c7,0.7003,0.3973,0.1254,10.8,0.017,1.2831,0.476,0.6772,0.6293,0.3873,0.6918,0.1427,24,7,0.420126,log((vent + lactate_max) / sqrt(pf_ratio)),False
GP_c8,0.7079,0.3904,0.1254,10.8,0.0126,0.9873,-0.0243,0.7566,0.5625,0.3875,0.7016,0.1511,24,8,0.414433,(sqrt(lactate_max) + -2.7207952) - (gcs_total / bun),False
GP_c9,0.7014,0.3653,0.129,8.3,0.0308,0.9546,-0.2589,0.672,0.6487,0.3956,0.686,0.1769,24,9,0.413694,((lactate_max / ph) - (map_mean / age_numeric)) - pf_ratio_miss,False
GP_c10,0.7122,0.3799,0.126,10.3,0.0154,0.8633,-0.1989,0.5767,0.7371,0.4022,0.7045,0.1811,24,10,0.40907,((sqrt(lactate_max) + -1.4133953) - (map_mean / age_numeric)) - pf_ratio_miss,False
GP_c11,0.7141,0.3936,0.1258,10.5,0.0159,0.8486,-0.2228,0.6455,0.7026,0.4157,0.7061,0.1581,24,11,0.408999,((lactate_max + -5.603558) / potassium_max) - ((map_mean / age_numeric) - intubated),False
GP_c12,0.7298,0.4045,0.1234,12.2,0.0268,0.9049,-0.1354,0.6032,0.7252,0.4086,0.7164,0.1704,24,12,0.405387,"(sqrt(lactate_max) + (-1.4870201 - pf_ratio_miss)) - (min(platelets_min, map_mean) / age_numeric)",False
GP_c13,0.7301,0.4042,0.1236,12.1,0.0284,0.8994,-0.1579,0.6984,0.6369,0.4012,0.7159,0.1466,24,13,0.405025,"((min(map_mean, platelets_min) / age_numeric) * -1.371217) - (pf_ratio_miss + (lactate_max * -0.18097131))",False
GP_c14,0.7397,0.4117,0.1225,12.9,0.012,0.9739,-0.0358,0.6772,0.6897,0.4231,0.7337,0.1623,24,14,0.402204,"(-1.5457708 - (min(platelets_min, map_mean) / age_numeric)) + max(sqrt(lactate_max) - pf_ratio_miss, vent)",False
GP_c15,0.7399,0.411,0.1233,12.3,0.0217,1.0287,0.0411,0.5926,0.778,0.4418,0.7291,0.1898,24,15,0.401982,"(max(vent, intubated + (lactate_max * 0.19505799)) + -1.3783082) - (min(map_mean, platelets_min) / age_numeric)",False
GP_c16,0.744,0.4255,0.121,13.9,0.0154,1.0524,0.075,0.7302,0.6207,0.4065,0.7363,0.1568,24,16,0.400137,"((-1.7932535 - (min(map_mean, platelets_min) / age_numeric)) + sqrt(lactate_max)) - min(pf_ratio_miss, gcs_total / bun)",False
GP_c17,0.7483,0.4334,0.1207,14.2,0.019,1.0614,0.0824,0.7354,0.6466,0.4238,0.7388,0.162,24,17,0.399666,"((sqrt(vent + lactate_max) - sqrt(gcs_total / bun)) + -1.5513369) - (min(map_mean, platelets_min) / age_numeric)",False
GP_c18,0.7498,0.4299,0.1205,14.3,0.0175,1.0647,0.078,0.6455,0.7134,0.4229,0.7411,0.1803,24,18,0.397591,"((sqrt(vent + lactate_max) - min(gcs_total / bun, pf_ratio_miss)) + -1.8961954) - (min(platelets_min, map_mean) / age_numeric)",False
GP_c19,0.7499,0.4304,0.1206,14.2,0.0217,1.0441,0.0538,0.5926,0.7834,0.4462,0.739,0.1982,24,19,0.397406,"(-1.6123357 - (min(platelets_min, map_mean) / age_numeric)) + (sqrt(vent + (lactate_max + intubated)) - sqrt(gcs_total / bun))",False
