label,auroc,auprc,brier,brier_skill_pct,ece_10bin,cal_slope,cal_intercept,sensitivity,specificity,f1,fitness,threshold,seed,complexity,train_loss,equation,is_selected
GP_c1,0.5,0.1692,0.1406,-0.0,0.0004,-0.0098,-1.6066,0.0,1.0,0.0,0.4998,inf,19,1,0.453978,-1.5941617,False
GP_c3,0.565,0.1972,0.139,1.1,0.0159,0.69,-0.49,0.3122,0.8179,0.283,0.5571,0.3021,19,3,0.441777,intubated + -1.8373233,False
GP_c4,0.6749,0.3707,0.1276,9.2,0.0226,0.891,-0.1972,0.4868,0.8039,0.3974,0.6636,0.2021,19,4,0.425294,log(lactate_max / gcs_total),False
GP_c5,0.6737,0.3773,0.1269,9.7,0.0137,1.012,0.0018,0.5132,0.7511,0.3752,0.6669,0.1748,19,5,0.424839,(-9.4505825 + lactate_max) / potassium_max,False
GP_c6,0.6898,0.3764,0.1273,9.4,0.0225,0.9403,-0.1327,0.6825,0.5927,0.3707,0.6785,0.1695,19,6,0.419514,(lactate_max + -11.368082) / sqrt(bun),False
GP_c7,0.6829,0.3737,0.1272,9.5,0.0138,1.1318,0.204,0.6508,0.6228,0.3716,0.676,0.1577,19,7,0.418768,log(age_numeric) + (sqrt(lactate_max) + -7.3675914),False
GP_c8,0.7014,0.3831,0.1266,9.9,0.0177,1.0331,0.008,0.7037,0.5894,0.3784,0.6926,0.1717,19,8,0.415693,(lactate_max + -11.89289) / (vent + sqrt(bun)),False
GP_c9,0.6981,0.3669,0.1276,9.3,0.0187,0.9123,-0.1375,0.619,0.6756,0.3855,0.6887,0.1511,19,9,0.412574,sqrt(lactate_max) + (intubated + (log(age_numeric) + -7.6171637)),False
GP_c10,0.6933,0.3805,0.1265,10.0,0.0174,0.9534,-0.0824,0.6984,0.6142,0.3888,0.6846,0.1589,19,10,0.411477,((lactate_max + -36.017082) / log(bun + age_numeric)) + 5.5992193,False
GP_c11,0.7309,0.4039,0.1239,11.9,0.0198,1.0495,0.0799,0.6032,0.7328,0.4138,0.721,0.1837,19,11,0.409299,((map_mean * -0.1433459) + lactate_max) / (exp(vent) + log(bun)),False
GP_c12,0.7047,0.3739,0.1272,9.5,0.0109,0.8034,-0.3101,0.7037,0.6056,0.3866,0.6993,0.1451,19,12,0.406142,(((lactate_max + -37.39094) / log(age_numeric + bun)) + 5.6445518) + intubated,False
GP_c14,0.7114,0.383,0.126,10.3,0.0119,0.8636,-0.2195,0.6825,0.6412,0.3963,0.7054,0.1555,19,14,0.404959,"(((lactate_max + -36.844013) / log(age_numeric + bun)) + min(intubated, bilirubin)) + 5.600857",False
GP_c15,0.7393,0.4205,0.1221,13.1,0.0119,1.0085,-0.0062,0.6614,0.6918,0.4167,0.7333,0.1684,19,15,0.404437,"(lactate_max + (min(pf_ratio * 0.47718537, map_mean) * -0.15133907)) / (exp(vent) + log(bun))",False
GP_c16,0.735,0.4084,0.1235,12.1,0.0136,0.9212,-0.1183,0.5873,0.7575,0.4229,0.7283,0.1881,19,16,0.403357,"(((map_mean * -0.6918056) / (log(bun) + exp(max(intubated, vent)))) + lactate_max) / log(heartrate)",False
GP_c17,0.7385,0.4239,0.1214,13.6,0.0149,1.0179,0.0163,0.5026,0.8373,0.4368,0.7311,0.2194,19,17,0.401235,"(lactate_max + (min(map_mean, (hematocrit * pf_ratio) / age_numeric) * -0.15670614)) / (exp(vent) + log(bun))",False
GP_c18,0.748,0.4522,0.1195,15.0,0.0155,1.0492,0.0993,0.6455,0.7403,0.442,0.7402,0.179,19,18,0.401071,"(lactate_max + ((min(platelets_min, map_mean) + (pf_ratio * (gcs_total / age_numeric))) * -0.10175128)) / (log(bun) + 1.6508977)",False
GP_c19,0.7519,0.4532,0.1189,15.4,0.0198,0.9698,-0.0341,0.6984,0.6789,0.4265,0.7421,0.1665,19,19,0.397907,"(lactate_max + ((min(platelets_min, map_mean) + (gcs_total * (pf_ratio / age_numeric))) * -0.09557879)) / (log(bun) + exp(intubated))",False
GP_c20,0.7512,0.4572,0.1188,15.5,0.0178,1.0439,0.0865,0.4709,0.9009,0.4811,0.7423,0.244,19,20,0.397097,"((((gcs_total * (pf_ratio / age_numeric)) + min(platelets_min, map_mean)) * -0.09796006) + lactate_max) / (log(bun) + (2.106203 - pf_ratio_miss))",False
GP_c21,0.7548,0.4579,0.1187,15.6,0.0193,0.9952,0.0059,0.6032,0.7812,0.4506,0.7452,0.1999,19,21,0.396026,"((((pf_ratio * (gcs_total / age_numeric)) + min(map_mean, platelets_min)) * -0.09944953) + lactate_max) / (log(bun) + exp(max(vent, intubated)))",True
GP_c23,0.7527,0.4593,0.1188,15.5,0.0189,1.1072,0.175,0.5979,0.7812,0.4475,0.7433,0.1997,19,23,0.394353,"(((((pf_ratio / age_numeric) * gcs_total) + min(map_mean, platelets_min)) * -0.10551752) + lactate_max) / (log(bun) + exp(max(vent, 1.1595 - pf_ratio_miss)))",False
