label,auroc,auprc,brier,brier_skill_pct,ece_10bin,cal_slope,cal_intercept,sensitivity,specificity,f1,fitness,threshold,model,complexity,equation,run,seed
RF_platt,0.7486,0.4137,0.1219,13.1,0.0287,0.7415,-0.3157,0.6074,0.778,0.4499,0.7342,0.201,RF_platt,,,9,8
APACHE-IV,0.6787,0.3496,0.1348,2.4,0.071,0.357,-1.0301,0.5146,0.7993,0.4074,0.6432,0.2742,APACHE-IV,,,9,8
GP,0.7177,0.4004,0.1248,11.1,0.0193,0.8139,-0.2965,0.7003,0.6304,0.3979,0.708,0.1413,GP,24.0,"(((bilirubin / gcs_total) + (sqrt(lactate_max) * (age_numeric / min(map_mean, pf_ratio)))) + (min(platelets_min, temperature) / -13.610439)) - max(0.21486576, pf_ratio_miss - vent)",10,9
LR,0.7497,0.4383,0.1929,-37.4,0.2469,0.8008,-1.5551,0.6923,0.667,0.4156,0.6263,0.4583,LR,,,10,9
RF,0.7572,0.4272,0.1334,4.9,0.1099,1.1987,-0.5981,0.5889,0.785,0.4449,0.7023,0.3528,RF,,,10,9
XGB,0.7478,0.429,0.1452,-3.5,0.1117,0.6645,-1.0312,0.6764,0.6832,0.418,0.692,0.2918,XGB,,,10,9
LR_platt,0.7497,0.4383,0.1195,14.8,0.0123,0.9622,-0.0843,0.6923,0.667,0.4156,0.7436,0.1588,LR_platt,,,10,9
RF_platt,0.7572,0.4272,0.1204,14.2,0.0125,0.9193,-0.129,0.5889,0.785,0.4449,0.751,0.214,RF_platt,,,10,9
APACHE-IV,0.6911,0.3781,0.1377,3.3,0.0588,0.3952,-0.954,0.679,0.6438,0.4003,0.6617,0.1748,APACHE-IV,,,10,9
GP,0.7127,0.3661,0.127,9.5,0.019,0.8347,-0.2083,0.6048,0.7085,0.3979,0.7032,0.1539,GP,19.0,"(((heartrate / pf_ratio) + (max(vent, 0.38594845) + sqrt(bilirubin + lactate_max))) * sqrt(age_numeric / map_mean)) + -4.649834",11,10
LR,0.7605,0.4248,0.1909,-36.1,0.2471,0.857,-1.5459,0.6074,0.7764,0.4486,0.637,0.5368,LR,,,11,10
RF,0.7653,0.4355,0.1316,6.2,0.1083,1.3256,-0.4877,0.626,0.7662,0.4508,0.7111,0.3404,RF,,,11,10
XGB,0.746,0.4074,0.1441,-2.7,0.1078,0.675,-0.9917,0.5968,0.7748,0.4412,0.692,0.3704,XGB,,,11,10
LR_platt,0.7605,0.4248,0.12,14.5,0.0138,0.9659,-0.0363,0.6074,0.7764,0.4486,0.7536,0.1926,LR_platt,,,11,10
RF_platt,0.7653,0.4355,0.1191,15.1,0.0142,0.8981,-0.1191,0.626,0.7662,0.4508,0.7582,0.1998,RF_platt,,,11,10
APACHE-IV,0.7182,0.3891,0.1292,7.6,0.0556,0.4842,-0.8315,0.7543,0.5873,0.3973,0.6903,0.1417,APACHE-IV,,,11,10
GP,0.7604,0.4348,0.1196,14.8,0.022,1.0167,-0.0068,0.7082,0.6956,0.4417,0.7494,0.1576,GP,20.0,(sqrt(vent + lactate_max) + (heartrate / pf_ratio)) + (log((age_numeric / map_mean) * (bilirubin + sqrt(bun))) + -5.752735),12,11
LR,0.7848,0.4669,0.1904,-35.7,0.2595,0.9915,-1.6227,0.7745,0.6476,0.4414,0.6551,0.4456,LR,,,12,11
RF,0.7791,0.4707,0.1303,7.2,0.1172,1.4213,-0.4867,0.7029,0.7101,0.4492,0.7205,0.3183,RF,,,12,11
XGB,0.7786,0.4546,0.1407,-0.3,0.1199,0.7898,-1.0038,0.7241,0.7031,0.4546,0.7187,0.3085,XGB,,,12,11
LR_platt,0.7848,0.4669,0.1157,17.6,0.0164,0.9935,-0.0436,0.7745,0.6476,0.4414,0.7766,0.141,LR_platt,,,12,11
RF_platt,0.7791,0.4707,0.1158,17.5,0.0106,0.9599,-0.0756,0.7029,0.7101,0.4492,0.7738,0.1739,RF_platt,,,12,11
APACHE-IV,0.6932,0.3574,0.1377,2.3,0.0613,0.3546,-1.0125,0.7393,0.5788,0.3891,0.6625,0.1488,APACHE-IV,,,12,11
GP,0.7193,0.3773,0.1264,10.0,0.0229,0.8638,-0.1611,0.7056,0.6013,0.3847,0.7079,0.1283,GP,19.0,"sqrt(lactate_max) + (log(age_numeric / min(map_mean, platelets_min)) + (max(vent, (bun / pf_ratio) + intubated) + -3.7799764))",13,12
LR,0.7778,0.4539,0.1877,-33.8,0.2493,0.9092,-1.5748,0.6286,0.7909,0.4731,0.6532,0.5389,LR,,,13,12
RF,0.7659,0.4474,0.1314,6.4,0.11,1.272,-0.5441,0.7427,0.6659,0.4385,0.711,0.2916,RF,,,13,12
XGB,0.7607,0.4341,0.1426,-1.6,0.1088,0.7067,-0.9899,0.6817,0.701,0.4323,0.7063,0.2987,XGB,,,13,12
LR_platt,0.7778,0.4539,0.1173,16.4,0.0164,1.1423,0.229,0.6286,0.7909,0.4731,0.7696,0.1893,LR_platt,,,13,12
RF_platt,0.7659,0.4474,0.1182,15.8,0.0093,0.9888,0.0247,0.7427,0.6659,0.4385,0.7613,0.1522,RF_platt,,,13,12
APACHE-IV,0.7041,0.3657,0.1336,4.2,0.0581,0.4145,-0.9487,0.6851,0.6489,0.3993,0.675,0.176,APACHE-IV,,,13,12
GP,0.7396,0.4196,0.1221,13.0,0.0203,1.0955,0.1209,0.5756,0.7694,0.4247,0.7294,0.1865,GP,18.0,"(sqrt(max(intubated, vent) + (bun / platelets_min)) + -3.8331852) + ((age_numeric + (lactate_max / 0.07399846)) / map_mean)",14,13
LR,0.7725,0.4658,0.1902,-35.6,0.2536,0.9447,-1.5916,0.7347,0.6686,0.4366,0.6457,0.4576,LR,,,14,13
RF,0.7786,0.458,0.1309,6.7,0.1152,1.3809,-0.5057,0.7321,0.6746,0.4391,0.721,0.3011,RF,,,14,13
XGB,0.7608,0.4541,0.1395,0.6,0.1103,0.775,-0.9514,0.7533,0.6234,0.4176,0.7056,0.2541,XGB,,,14,13
LR_platt,0.7725,0.4658,0.1167,16.8,0.017,0.8981,-0.074,0.7347,0.6686,0.4366,0.764,0.1337,LR_platt,,,14,13
RF_platt,0.7786,0.458,0.1172,16.5,0.0211,0.9464,-0.0205,0.7321,0.6746,0.4391,0.7681,0.1489,RF_platt,,,14,13
APACHE-IV,0.706,0.3741,0.135,3.9,0.0562,0.4083,-0.9531,0.7139,0.6247,0.4013,0.6779,0.1731,APACHE-IV,,,14,13
GP,0.7486,0.4421,0.1192,15.1,0.0183,1.0572,0.049,0.6764,0.6762,0.4136,0.7394,0.1592,GP,24.0,"log(((age_numeric / map_mean) * (sqrt(bun) + bilirubin)) / pf_ratio) + sqrt((respiratoryrate / platelets_min) + ((intubated + max(intubated, vent)) + lactate_max))",15,14
LR,0.7804,0.4837,0.1896,-35.1,0.2563,0.9718,-1.6185,0.7003,0.7274,0.4603,0.6522,0.4922,LR,,,15,14
RF,0.7813,0.4753,0.1294,7.8,0.1174,1.4275,-0.4724,0.7003,0.7252,0.4587,0.7226,0.3192,RF,,,15,14
XGB,0.7759,0.4523,0.1382,1.5,0.115,0.7847,-0.977,0.7586,0.6401,0.4298,0.7184,0.2612,XGB,,,15,14
LR_platt,0.7804,0.4837,0.1144,18.5,0.0159,1.042,0.0433,0.7003,0.7274,0.4603,0.7725,0.1647,LR_platt,,,15,14
RF_platt,0.7813,0.4753,0.1152,17.9,0.0102,1.0472,0.0757,0.7003,0.7252,0.4587,0.7762,0.1739,RF_platt,,,15,14
APACHE-IV,0.7183,0.4096,0.1292,7.3,0.0636,0.5075,-0.8493,0.522,0.8285,0.4395,0.6865,0.314,APACHE-IV,,,15,14
GP,0.7408,0.4041,0.123,12.3,0.0164,0.9398,-0.1162,0.5889,0.7796,0.4405,0.7326,0.1986,GP,24.0,"log(((lactate_max + (bilirubin + (vent + intubated))) / (map_mean / age_numeric)) / ((min(109.99873, platelets_min) / (heartrate / gcs_total)) + (pf_ratio / bun)))",16,15
LR,0.7612,0.4453,0.1923,-37.0,0.2472,0.8127,-1.5722,0.7454,0.653,0.4316,0.6376,0.4452,LR,,,16,15
RF,0.7826,0.4484,0.13,7.4,0.1103,1.347,-0.512,0.7215,0.7155,0.4622,0.7274,0.3113,RF,,,16,15
XGB,0.7633,0.4413,0.1419,-1.1,0.1104,0.7051,-1.002,0.6525,0.7425,0.4469,0.7081,0.3344,XGB,,,16,15
LR_platt,0.7612,0.4453,0.1187,15.4,0.0117,1.1258,0.1654,0.7454,0.653,0.4316,0.7554,0.1543,LR_platt,,,16,15
RF_platt,0.7826,0.4484,0.117,16.6,0.0083,1.0462,0.0406,0.7215,0.7155,0.4622,0.7784,0.1749,RF_platt,,,16,15
APACHE-IV,0.72,0.3795,0.1333,5.0,0.0563,0.4607,-0.8942,0.742,0.6218,0.4116,0.6919,0.1606,APACHE-IV,,,16,15
GP,0.7537,0.4446,0.1187,15.4,0.0161,1.0621,0.0626,0.6737,0.7144,0.4376,0.7457,0.1755,GP,23.0,"log(((intubated + ((vent + lactate_max) * sqrt(bun / pf_ratio))) * (bilirubin + (age_numeric * 0.14988373))) / min(map_mean, max(hematocrit, platelets_min)))",17,16
LR,0.7907,0.4799,0.1873,-33.5,0.2572,1.0119,-1.6261,0.6631,0.7651,0.4704,0.6621,0.5246,LR,,,17,16
RF,0.8025,0.4991,0.1264,9.9,0.1177,1.6031,-0.3805,0.7241,0.7182,0.4655,0.7436,0.3175,RF,,,17,16
XGB,0.7839,0.4776,0.1364,2.8,0.1204,0.8243,-0.9988,0.7825,0.6358,0.4377,0.7237,0.2604,XGB,,,17,16
