label,auroc,auprc,brier,brier_skill_pct,ece_10bin,cal_slope,cal_intercept,sensitivity,specificity,f1,fitness,threshold,model,complexity,equation,run,seed
RF_platt,0.7824,0.4593,0.1167,16.9,0.0161,0.9247,-0.1014,0.6631,0.7484,0.457,0.7744,0.1806,RF_platt,,,22,21
APACHE-IV,0.734,0.3944,0.1296,7.9,0.0492,0.5025,-0.8255,0.7184,0.6653,0.4277,0.7094,0.1805,APACHE-IV,,,22,21
GP,0.7266,0.4077,0.1231,12.3,0.0193,0.8993,-0.0978,0.5703,0.7807,0.4304,0.7169,0.1871,GP,17.0,"log(((lactate_max / ((pf_ratio * 0.40745285) / age_numeric)) + vent) * (sqrt(bun) / min(map_mean, platelets_min)))",23,22
LR,0.7784,0.4864,0.1827,-30.2,0.2433,0.9474,-1.5568,0.7347,0.6967,0.4552,0.6568,0.4591,LR,,,23,22
RF,0.7864,0.4812,0.1266,9.8,0.1067,1.4496,-0.3985,0.6233,0.8066,0.484,0.733,0.3512,RF,,,23,22
XGB,0.7732,0.4738,0.1345,4.1,0.1043,0.7718,-0.933,0.6684,0.7349,0.4496,0.7211,0.3138,XGB,,,23,22
LR_platt,0.7784,0.4864,0.1142,18.6,0.008,1.0129,0.0569,0.7347,0.6967,0.4552,0.7744,0.1485,LR_platt,,,23,22
RF_platt,0.7864,0.4812,0.1143,18.5,0.0207,1.0948,0.1694,0.6233,0.8066,0.484,0.776,0.2088,RF_platt,,,23,22
APACHE-IV,0.7162,0.4169,0.1276,8.5,0.0522,0.4484,-0.8821,0.6667,0.6918,0.417,0.6901,0.1889,APACHE-IV,,,23,22
GP,0.7282,0.3886,0.125,10.9,0.0172,0.8532,-0.1964,0.7878,0.549,0.3931,0.7196,0.1184,GP,24.0,sqrt((((respiratoryrate / gcs_total) + ((lactate_max + (pf_ratio_miss + (heartrate / hematocrit))) * 1.6633587)) / (map_mean / age_numeric)) + bilirubin) - (pf_ratio_miss - -4.8579535),24,23
LR,0.7753,0.4646,0.1869,-33.2,0.2482,0.9312,-1.5664,0.7692,0.6417,0.4354,0.6512,0.4302,LR,,,24,23
RF,0.778,0.4611,0.1293,7.8,0.11,1.37,-0.4734,0.7401,0.6805,0.4468,0.723,0.2984,RF,,,24,23
XGB,0.7766,0.4486,0.1363,2.9,0.1108,0.8072,-0.9328,0.687,0.7365,0.4604,0.7212,0.3354,XGB,,,24,23
LR_platt,0.7753,0.4646,0.1164,17.0,0.0113,1.0349,0.0788,0.7692,0.6417,0.4354,0.7697,0.1368,LR_platt,,,24,23
RF_platt,0.778,0.4611,0.1162,17.2,0.0098,0.965,-0.0081,0.7401,0.6805,0.4468,0.7731,0.1548,RF_platt,,,24,23
APACHE-IV,0.7107,0.3863,0.1317,6.0,0.0586,0.4469,-0.8915,0.6129,0.7457,0.4274,0.6814,0.2315,APACHE-IV,,,24,23
GP,0.7618,0.4668,0.1174,16.4,0.0157,1.166,0.1967,0.6976,0.7053,0.4431,0.7539,0.1784,GP,17.0,"log(((sqrt(bun) * age_numeric) / (map_mean / ((vent + lactate_max) + intubated))) / min(map_mean, platelets_min))",25,24
LR,0.7859,0.4804,0.1871,-33.3,0.2537,1.0157,-1.5988,0.6976,0.7225,0.4554,0.659,0.494,LR,,,25,24
RF,0.7907,0.4914,0.128,8.8,0.1191,1.5459,-0.3874,0.7294,0.7042,0.458,0.7311,0.3102,RF,,,25,24
XGB,0.7748,0.4559,0.1376,1.9,0.1088,0.7782,-0.948,0.7003,0.702,0.4422,0.7205,0.3005,XGB,,,25,24
LR_platt,0.7859,0.4804,0.1147,18.3,0.0192,1.1165,0.1921,0.6976,0.7225,0.4554,0.7763,0.1644,LR_platt,,,25,24
RF_platt,0.7907,0.4914,0.1144,18.5,0.0238,1.232,0.28,0.7294,0.7042,0.458,0.7788,0.1757,RF_platt,,,25,24
APACHE-IV,0.6914,0.3371,0.1381,2.7,0.0534,0.3547,-0.9924,0.7345,0.5819,0.3907,0.6647,0.145,APACHE-IV,,,25,24
GP,0.7428,0.4218,0.1218,13.2,0.0136,0.9402,-0.0962,0.626,0.7435,0.4334,0.736,0.1749,GP,24.0,"max(lactate_max / log(glucose), intubated) - log(sqrt(min(platelets_min, ((gcs_total * pf_ratio) / bun) / bilirubin)) * (map_mean / (age_numeric - ph)))",26,25
LR,0.7769,0.4645,0.1885,-34.3,0.2511,0.9023,-1.5923,0.7268,0.6686,0.4329,0.6514,0.45,LR,,,26,25
RF,0.7823,0.4396,0.1306,6.9,0.1113,1.315,-0.5391,0.7798,0.6476,0.4438,0.7267,0.2814,RF,,,26,25
XGB,0.7636,0.4332,0.1419,-1.1,0.1114,0.712,-1.0028,0.7958,0.5959,0.4205,0.7079,0.2311,XGB,,,26,25
LR_platt,0.7769,0.4645,0.1165,17.0,0.02,1.0097,-0.0096,0.7268,0.6686,0.4329,0.7669,0.1485,LR_platt,,,26,25
RF_platt,0.7823,0.4396,0.1179,16.0,0.0156,0.9973,-0.0156,0.7798,0.6476,0.4438,0.7745,0.1466,RF_platt,,,26,25
APACHE-IV,0.6745,0.3313,0.1377,-0.0,0.0656,0.2985,-1.1198,0.5522,0.7513,0.3928,0.6417,0.241,APACHE-IV,,,26,25
GP,0.7224,0.3821,0.1253,10.7,0.0122,0.8669,-0.1947,0.5358,0.7947,0.4208,0.7163,0.2185,GP,15.0,"((min(platelets_min, map_mean) * (-2.0788014 / (age_numeric + bun))) + (lactate_max * 0.17435071)) - pf_ratio_miss",27,26
LR,0.7634,0.442,0.1932,-37.7,0.2552,0.896,-1.5803,0.6313,0.7462,0.4383,0.6358,0.5206,LR,,,27,26
RF,0.7786,0.463,0.1303,7.1,0.1156,1.4687,-0.4343,0.6923,0.7117,0.445,0.7208,0.3207,RF,,,27,26
XGB,0.763,0.4299,0.1402,0.1,0.1146,0.776,-0.9671,0.6923,0.6934,0.4325,0.7057,0.3073,XGB,,,27,26
LR_platt,0.7634,0.442,0.1187,15.4,0.0143,0.9078,-0.128,0.6313,0.7462,0.4383,0.7563,0.1797,LR_platt,,,27,26
RF_platt,0.7786,0.463,0.1168,16.8,0.0238,0.8572,-0.1747,0.6923,0.7117,0.445,0.7667,0.1692,RF_platt,,,27,26
APACHE-IV,0.7009,0.3823,0.1341,4.6,0.0595,0.3792,-0.9933,0.5418,0.7887,0.4201,0.6711,0.2742,APACHE-IV,,,27,26
GP,0.7395,0.4302,0.1208,13.9,0.0096,1.0252,0.0613,0.6154,0.7387,0.4241,0.7347,0.1735,GP,23.0,"((((age_numeric * sqrt(vent + lactate_max)) / map_mean) - 2.3475995) - ((pf_ratio_miss + log(min(pf_ratio, platelets_min) / bun)) * 0.5445543)) / 1.1457375",28,27
LR,0.7824,0.4907,0.1862,-32.7,0.2518,0.9904,-1.5963,0.7188,0.7123,0.4585,0.6565,0.486,LR,,,28,27
RF,0.7934,0.4859,0.1266,9.8,0.112,1.5126,-0.3805,0.7215,0.7387,0.4797,0.7374,0.3165,RF,,,28,27
XGB,0.7688,0.4492,0.1381,1.6,0.1055,0.7522,-0.9461,0.7825,0.6115,0.4235,0.716,0.2287,XGB,,,28,27
LR_platt,0.7824,0.4907,0.1134,19.2,0.0087,1.0862,0.1221,0.7188,0.7123,0.4585,0.778,0.1634,LR_platt,,,28,27
