threshold,GP_mean,GP_std,LR_mean,LR_std,RF_mean,RF_std,XGB_mean,XGB_std,LR_platt_mean,LR_platt_std,RF_platt_mean,RF_platt_std,APACHE-IV_mean,APACHE-IV_std
0.01,0.1604175807937564,0.0001396903935297996,0.16039405851318075,0.00013151991110961354,0.16043703191038616,2.4313165234429434e-06,0.16040657357271781,0.00025026558141842545,0.16037973404744563,0.0002489258239934343,0.1604530149984695,0.0003065255804275043,0.1488970018545371,0.00268299928710913
0.012462311557788945,0.15835088382306525,0.0001370815318597779,0.15830303528598696,0.00013071390497098586,0.15834725294918872,6.250699301314089e-06,0.15831737040142607,0.00030069340944712723,0.1583065750082181,0.00031233677126462674,0.1583734742391929,0.0004124496863211043,0.1469398259149973,0.0026858894084619608
0.014924623115577889,0.156225221261537,0.00021048065628876002,0.15618745411845347,0.00018609289153441355,0.15624716452299142,9.294772328867406e-06,0.15618133093114933,0.0003861435561782808,0.15622001567660834,0.000322146336737068,0.15637288747087216,0.00047130840498399424,0.14500564129277885,0.002688826444144973
0.017386934673366834,0.1541370181560212,0.00022275077303978634,0.15407588934691602,0.0001850699449348482,0.1541385052669453,1.342952907711858e-05,0.15407932924518294,0.0004999475221109517,0.15417582350637762,0.0003292627584267595,0.15432771646651514,0.0006630947280516695,0.14282664775817672,0.0027007196923321927
0.01984924623115578,0.1520307487919683,0.0003012844897894508,0.15195620645151708,0.00018539093973206374,0.15199815373776074,0.00010987709733890487,0.15200133747632621,0.0005732110714920772,0.152081294468304,0.0003977889259382581,0.15220944377217302,0.0007465394937903391,0.1408390804524795,0.002655717893351789
0.022311557788944725,0.14987248010798943,0.00041799760863220386,0.14982538634988726,0.00018552036862612,0.14988590083162454,0.0001077521498345183,0.149909341830281,0.0005812221268477756,0.15004636640582653,0.0005164156030956409,0.1502333573206134,0.0007833130736510543,0.138427123287833,0.0027710574352525223
0.024773869346733667,0.14778512804642732,0.00044796462095937753,0.14768478844523214,0.0001851045218475909,0.14776773289521092,0.00010898685823755728,0.14788214476222536,0.0006287601294148285,0.1479955466874513,0.0006555714723895479,0.1481434673922987,0.0008634890110151734,0.13618247253792382,0.0027746464845086276
0.027236180904522615,0.1457229307370566,0.00045893629631061684,0.14553528775253025,0.00018534794785758817,0.14564873381971186,0.00011433250461075027,0.14585986398655845,0.0007394134965727108,0.14598998967005067,0.0006296339438454849,0.14623593342718644,0.001072660701795851,0.1343561028555401,0.0028159656713085987
0.029698492462311557,0.14357962205330146,0.00042581719715094796,0.14338355397679173,0.00018448333125856402,0.14352671948218781,0.00011722989561036605,0.14391196740038892,0.0007887561234647601,0.14403829731772214,0.0007181894784768083,0.144348785081979,0.00113246458029518,0.13214978669360938,0.002796964668606615
0.032160804020100506,0.14152238589879584,0.0005266272295196142,0.14122406639325752,0.00018779886763853183,0.14139028515438443,0.00014356175347222635,0.14191795957828832,0.0008119190557438563,0.14214636892690388,0.0006780311953258984,0.14251131234695527,0.0012558845938508152,0.13027745226343057,0.002772056162227612
