run,criterion,complexity,equation,val_auroc,val_ece,val_brier,test_auroc,test_ece,test_brier
19,auroc_only,18,"log(((lactate_max + vent) + bilirubin) * ((age_numeric / map_mean) / (gcs_total + (min(pf_ratio, platelets_min) / bun))))",0.7198,0.015,0.1268,0.7059,0.0118,0.1251
19,brier_only,18,"log(((lactate_max + vent) + bilirubin) * ((age_numeric / map_mean) / (gcs_total + (min(pf_ratio, platelets_min) / bun))))",0.7198,0.015,0.1268,0.7059,0.0118,0.1251
20,auroc_minus_half_ece,23,"log(((vent + max(lactate_max, sqrt(sqrt(bun)))) - pf_ratio_miss) * (((age_numeric / sqrt(pf_ratio)) + bilirubin) / min(map_mean, platelets_min - -10.764942)))",0.8139,0.0319,0.1122,0.7183,0.0102,0.1243
20,auroc_only,23,"log(((vent + max(lactate_max, sqrt(sqrt(bun)))) - pf_ratio_miss) * (((age_numeric / sqrt(pf_ratio)) + bilirubin) / min(map_mean, platelets_min - -10.764942)))",0.8139,0.0319,0.1122,0.7183,0.0102,0.1243
20,brier_only,24,"log((age_numeric * (vent + (max(sqrt(sqrt(bun)), lactate_max) - pf_ratio_miss))) * ((((heartrate / (pf_ratio * 0.22254974)) + bilirubin) * 0.0243372) / map_mean))",0.806,0.032,0.1116,0.7177,0.0192,0.1256
21,auroc_minus_half_ece,22,"log((bilirubin + sqrt(sqrt(respiratoryrate) * bun)) / (((pf_ratio / ((lactate_max + intubated) + vent)) / age_numeric) * min(map_mean, platelets_min)))",0.7244,0.0196,0.1248,0.7532,0.0147,0.1198
21,auroc_only,22,"log((bilirubin + sqrt(sqrt(respiratoryrate) * bun)) / (((pf_ratio / ((lactate_max + intubated) + vent)) / age_numeric) * min(map_mean, platelets_min)))",0.7244,0.0196,0.1248,0.7532,0.0147,0.1198
21,brier_only,22,"log((bilirubin + sqrt(sqrt(respiratoryrate) * bun)) / (((pf_ratio / ((lactate_max + intubated) + vent)) / age_numeric) * min(map_mean, platelets_min)))",0.7244,0.0196,0.1248,0.7532,0.0147,0.1198
22,auroc_minus_half_ece,22,"(sqrt(sqrt(bun / pf_ratio) * (bilirubin + lactate_max)) - ((pf_ratio_miss / exp(vent)) + (min(platelets_min, map_mean) / age_numeric))) - 1.223087",0.7667,0.0266,0.1197,0.7384,0.0083,0.1234
22,auroc_only,22,"(sqrt(sqrt(bun / pf_ratio) * (bilirubin + lactate_max)) - ((pf_ratio_miss / exp(vent)) + (min(platelets_min, map_mean) / age_numeric))) - 1.223087",0.7667,0.0266,0.1197,0.7384,0.0083,0.1234
22,brier_only,24,"sqrt(sqrt((bun + respiratoryrate) / pf_ratio) * (lactate_max + bilirubin)) - ((min(map_mean, platelets_min) / age_numeric) + ((pf_ratio_miss / exp(vent)) - -1.4547998))",0.7639,0.0216,0.1195,0.7409,0.0122,0.123
23,auroc_minus_half_ece,17,"log(((lactate_max / ((pf_ratio * 0.40745285) / age_numeric)) + vent) * (sqrt(bun) / min(map_mean, platelets_min)))",0.7356,0.0066,0.1203,0.7266,0.0193,0.1231
23,auroc_only,23,"log((max(sqrt(bun), bilirubin) * ((lactate_max + intubated) + vent)) / (min(platelets_min, map_mean) / (age_numeric / min(glucose, pf_ratio * 0.46800056))))",0.7392,0.0206,0.1196,0.7415,0.0158,0.1212
23,brier_only,23,"log((max(sqrt(bun), bilirubin) * ((lactate_max + intubated) + vent)) / (min(platelets_min, map_mean) / (age_numeric / min(glucose, pf_ratio * 0.46800056))))",0.7392,0.0206,0.1196,0.7415,0.0158,0.1212
24,auroc_minus_half_ece,24,sqrt((((respiratoryrate / gcs_total) + ((lactate_max + (pf_ratio_miss + (heartrate / hematocrit))) * 1.6633587)) / (map_mean / age_numeric)) + bilirubin) - (pf_ratio_miss - -4.8579535),0.7527,0.0151,0.1175,0.7282,0.0172,0.125
24,auroc_only,23,sqrt(bilirubin + ((exp(pf_ratio_miss + vent) + (((heartrate / hematocrit) + lactate_max) * 1.6087472)) / (map_mean / age_numeric))) - (pf_ratio_miss - -4.679979),0.7537,0.0208,0.1196,0.7286,0.0183,0.1245
24,brier_only,24,sqrt((((respiratoryrate / gcs_total) + ((lactate_max + (pf_ratio_miss + (heartrate / hematocrit))) * 1.6633587)) / (map_mean / age_numeric)) + bilirubin) - (pf_ratio_miss - -4.8579535),0.7527,0.0151,0.1175,0.7282,0.0172,0.125
25,auroc_minus_half_ece,17,"log(((sqrt(bun) * age_numeric) / (map_mean / ((vent + lactate_max) + intubated))) / min(map_mean, platelets_min))",0.7231,0.0209,0.1218,0.7618,0.0157,0.1174
25,auroc_only,24,"((age_numeric * ((heartrate / map_mean) + max(intubated, vent))) * 0.010701869) + log(((lactate_max + bilirubin) + vasopressor_24h) / (gcs_total + min(map_mean, platelets_min)))",0.7237,0.0287,0.1203,0.7526,0.0134,0.1193
25,brier_only,24,"((age_numeric * ((heartrate / map_mean) + max(intubated, vent))) * 0.010701869) + log(((lactate_max + bilirubin) + vasopressor_24h) / (gcs_total + min(map_mean, platelets_min)))",0.7237,0.0287,0.1203,0.7526,0.0134,0.1193
26,auroc_minus_half_ece,24,"max(lactate_max / log(glucose), intubated) - log(sqrt(min(platelets_min, ((gcs_total * pf_ratio) / bun) / bilirubin)) * (map_mean / (age_numeric - ph)))",0.7147,0.0154,0.1236,0.7428,0.0136,0.1218
26,auroc_only,22,"max(intubated, lactate_max / log(glucose)) - log((sqrt((gcs_total * platelets_min) / (bun * (heartrate / pf_ratio))) * map_mean) / age_numeric)",0.7174,0.022,0.1236,0.7385,0.0198,0.1223
26,brier_only,22,"max(intubated, lactate_max / log(glucose)) - log((sqrt((gcs_total * platelets_min) / (bun * (heartrate / pf_ratio))) * map_mean) / age_numeric)",0.7174,0.022,0.1236,0.7385,0.0198,0.1223
27,auroc_minus_half_ece,15,"((min(platelets_min, map_mean) * (-2.0788014 / (age_numeric + bun))) + (lactate_max * 0.17435071)) - pf_ratio_miss",0.7753,0.0152,0.1177,0.7224,0.0122,0.1253
27,auroc_only,15,"((min(platelets_min, map_mean) * (-2.0788014 / (age_numeric + bun))) + (lactate_max * 0.17435071)) - pf_ratio_miss",0.7753,0.0152,0.1177,0.7224,0.0122,0.1253
27,brier_only,23,"((-3.4427705 / (bun + (age_numeric + respiratoryrate))) * (min(platelets_min, map_mean) - bilirubin)) - ((lactate_max * -0.16625997) + min(0.7284398 - vent, pf_ratio_miss))",0.7701,0.0187,0.1162,0.7326,0.0266,0.1248
28,auroc_minus_half_ece,23,"((((age_numeric * sqrt(vent + lactate_max)) / map_mean) - 2.3475995) - ((pf_ratio_miss + log(min(pf_ratio, platelets_min) / bun)) * 0.5445543)) / 1.1457375",0.7624,0.0141,0.118,0.7395,0.0096,0.1208
28,auroc_only,20,"(((age_numeric * sqrt(vent + lactate_max)) / map_mean) - ((pf_ratio_miss + min(2.6528618, platelets_min / bun)) * 0.57836014)) + -1.468132",0.7642,0.0241,0.1186,0.7282,0.0102,0.1217
28,brier_only,23,"((((age_numeric * sqrt(vent + lactate_max)) / map_mean) - 2.3475995) - ((pf_ratio_miss + log(min(pf_ratio, platelets_min) / bun)) * 0.5445543)) / 1.1457375",0.7624,0.0141,0.118,0.7395,0.0096,0.1208
29,auroc_minus_half_ece,23,"((max(intubated, vent) + (((age_numeric - (min(map_mean, platelets_min) - respiratoryrate)) / temperature) + sqrt(bilirubin + lactate_max))) - log(pf_ratio)) * 0.76380485",0.7018,0.0232,0.1251,0.7678,0.0148,0.1185
29,auroc_only,22,"(((max(vent, intubated) + sqrt(lactate_max + bilirubin)) + ((age_numeric - (min(platelets_min, map_mean) - respiratoryrate)) / temperature)) - 5.1354938) * 0.80079585",0.7039,0.0385,0.125,0.7569,0.0124,0.1198
29,brier_only,22,"(((max(vent, intubated) + sqrt(lactate_max + bilirubin)) + ((age_numeric - (min(platelets_min, map_mean) - respiratoryrate)) / temperature)) - 5.1354938) * 0.80079585",0.7039,0.0385,0.125,0.7569,0.0124,0.1198
30,auroc_minus_half_ece,18,"((sqrt(vent + lactate_max) + -1.9045843) - min(gcs_total / bun, pf_ratio_miss)) - (min(map_mean, platelets_min) / age_numeric)",0.7217,0.014,0.1242,0.7553,0.0125,0.12
30,auroc_only,18,"((sqrt(vent + lactate_max) + -1.9045843) - min(gcs_total / bun, pf_ratio_miss)) - (min(map_mean, platelets_min) / age_numeric)",0.7217,0.014,0.1242,0.7553,0.0125,0.12
30,brier_only,24,(sqrt((lactate_max + exp(vent)) + vasopressor_24h) + log(sqrt(bun))) + ((-26.37945 / (log(age_numeric) + (bilirubin / gcs_total))) + (heartrate / pf_ratio)),0.7208,0.0184,0.1238,0.7529,0.0173,0.1217
