label,auroc,auprc,brier,brier_skill_pct,ece_10bin,cal_slope,cal_intercept,sensitivity,specificity,f1,fitness,threshold,model,run,seed
RF_platt,0.7736,0.4592,0.1225,16.5,0.0078,0.9595,-0.0609,0.6493,0.7552,0.4679,0.7697,0.2027,RF_platt,13,12
APACHE-IV,0.682,0.3771,0.1447,3.9,0.0609,0.3135,-0.9758,0.5103,0.8106,0.435,0.6515,0.3018,APACHE-IV,13,12
GP,0.7546,0.4794,0.1282,16.2,0.018,1.1058,0.2702,0.7006,0.669,0.4484,0.7456,0.1554,GP,14,13
LR,0.7684,0.5045,0.1932,-26.3,0.2425,0.8902,-1.486,0.6582,0.744,0.4769,0.6472,0.5178,LR,14,13
RF,0.7784,0.5151,0.1347,12.0,0.1018,1.3914,-0.3685,0.6476,0.7612,0.4841,0.7275,0.3418,RF,14,13
XGB,0.7477,0.4711,0.1536,-0.4,0.1192,0.7185,-0.9653,0.7665,0.593,0.4357,0.6881,0.262,XGB,14,13
LR_platt,0.7684,0.5045,0.125,18.3,0.0213,0.9962,0.1281,0.6582,0.744,0.4769,0.7578,0.174,LR_platt,14,13
RF_platt,0.7784,0.5151,0.124,19.0,0.0164,1.0092,0.139,0.6476,0.7612,0.4841,0.7702,0.1968,RF_platt,14,13
APACHE-IV,0.7194,0.4324,0.1379,8.1,0.0543,0.4806,-0.801,0.693,0.6505,0.4272,0.6922,0.1893,APACHE-IV,14,13
GP,0.7409,0.4167,0.1264,12.7,0.0189,1.0057,0.0756,0.7249,0.6343,0.4215,0.7315,0.1442,GP,15,14
LR,0.7681,0.4712,0.1939,-33.8,0.2544,0.9067,-1.5581,0.7609,0.6639,0.4561,0.6409,0.4595,LR,15,14
RF,0.7763,0.4581,0.1347,7.0,0.1148,1.3815,-0.4893,0.7429,0.6732,0.4537,0.7189,0.3013,RF,15,14
XGB,0.7525,0.4626,0.1523,-5.1,0.1419,0.7614,-1.0833,0.6041,0.7752,0.4545,0.6815,0.4221,XGB,15,14
LR_platt,0.7681,0.4712,0.1203,17.0,0.0118,1.027,0.0732,0.7609,0.6639,0.4561,0.7622,0.1503,LR_platt,15,14
RF_platt,0.7763,0.4581,0.1211,16.4,0.0231,0.988,-0.0173,0.7429,0.6732,0.4537,0.7648,0.1604,RF_platt,15,14
APACHE-IV,0.7004,0.3955,0.1393,5.6,0.061,0.4039,-0.9067,0.5691,0.7636,0.4302,0.6699,0.2687,APACHE-IV,15,14
GP,0.7494,0.4201,0.1161,14.0,0.0125,1.1376,0.2062,0.6959,0.682,0.4151,0.7431,0.1531,GP,16,15
LR,0.7705,0.4552,0.1887,-39.7,0.2596,0.9801,-1.6291,0.7577,0.6538,0.4255,0.6407,0.4483,LR,16,15
RF,0.7826,0.4599,0.1257,7.0,0.1154,1.4665,-0.4503,0.7165,0.7062,0.4413,0.7249,0.3001,RF,16,15
XGB,0.765,0.4527,0.1438,-6.4,0.1466,0.8329,-1.1328,0.7397,0.6474,0.4135,0.6917,0.3057,XGB,16,15
LR_platt,0.7705,0.4552,0.1124,16.8,0.0165,1.1013,0.0891,0.7577,0.6538,0.4255,0.7622,0.1488,LR_platt,16,15
RF_platt,0.7826,0.4599,0.1116,17.4,0.0109,1.0635,0.0654,0.7165,0.7062,0.4413,0.7771,0.1607,RF_platt,16,15
APACHE-IV,0.7121,0.3805,0.1246,6.2,0.0614,0.4774,-0.9389,0.5902,0.7782,0.4252,0.6814,0.2505,APACHE-IV,16,15
