label,auroc,auprc,brier,brier_skill_pct,ece_10bin,cal_slope,cal_intercept,sensitivity,specificity,f1,fitness,threshold,model,run,seed
LR,0.7818,0.467,0.2005,-48.6,0.2785,0.9003,-1.7695,0.6707,0.7699,0.4672,0.6425,0.554,LR,23,22
RF,0.795,0.4787,0.1279,5.2,0.1324,1.4838,-0.6016,0.7515,0.7017,0.4543,0.7288,0.3198,RF,23,22
XGB,0.7741,0.4416,0.147,-8.9,0.1556,0.8131,-1.192,0.6886,0.7315,0.4457,0.6963,0.3735,XGB,23,22
LR_platt,0.7818,0.467,0.1115,17.4,0.0248,1.0031,-0.1995,0.6707,0.7699,0.4672,0.7694,0.2025,LR_platt,23,22
RF_platt,0.795,0.4787,0.1095,18.9,0.0234,1.0749,-0.0817,0.7515,0.7017,0.4543,0.7833,0.1784,RF_platt,23,22
APACHE-IV,0.7234,0.411,0.1315,3.7,0.0716,0.4848,-0.9651,0.6038,0.7479,0.4169,0.6877,0.2673,APACHE-IV,23,22
GP,0.7571,0.4705,0.1232,16.3,0.013,1.1298,0.1874,0.6682,0.7149,0.4496,0.7506,0.1755,GP,24,23
LR,0.7703,0.481,0.2053,-39.4,0.2729,0.9421,-1.6498,0.6148,0.7803,0.4694,0.6338,0.5718,LR,24,23
RF,0.7814,0.488,0.1357,7.8,0.1209,1.4248,-0.5182,0.7053,0.7012,0.4592,0.721,0.3267,RF,24,23
XGB,0.7695,0.4757,0.1522,-3.4,0.1453,0.8085,-1.0817,0.5986,0.793,0.4704,0.6969,0.4534,XGB,24,23
LR_platt,0.7703,0.481,0.1214,17.6,0.011,1.0564,0.0371,0.6148,0.7803,0.4694,0.7648,0.2077,LR_platt,24,23
RF_platt,0.7814,0.488,0.1202,18.4,0.021,1.0235,-0.0189,0.7053,0.7012,0.4592,0.7709,0.1831,RF_platt,24,23
APACHE-IV,0.7084,0.3929,0.1398,5.3,0.0643,0.3859,-0.9334,0.6692,0.6957,0.4381,0.6762,0.2123,APACHE-IV,24,23
GP,0.7382,0.4387,0.1292,13.5,0.0132,1.047,0.1663,0.5371,0.8043,0.4454,0.7315,0.2085,GP,25,24
LR,0.7599,0.4535,0.1992,-33.3,0.2518,0.8453,-1.5161,0.5831,0.7998,0.4706,0.634,0.5745,LR,25,24
RF,0.7824,0.4626,0.1336,10.6,0.098,1.3982,-0.338,0.7698,0.6585,0.467,0.7334,0.2823,RF,25,24
