model,metric,best,average,worst,stdev
GP,auroc,0.771,0.7339,0.6616,0.0221
GP,auprc,0.4668,0.4114,0.3371,0.0289
GP,ece_10bin,0.0083,0.0162,0.0244,0.0041
GP,brier,0.117,0.1225,0.1299,0.0031
RF,auroc,0.8025,0.7772,0.7486,0.0138
RF,auprc,0.53,0.4639,0.4137,0.024
RF,ece_10bin,0.1067,0.1132,0.1245,0.0039
RF,brier,0.1258,0.1298,0.1344,0.0022
RF_platt,auroc,0.8025,0.7772,0.7486,0.0138
RF_platt,auprc,0.53,0.4639,0.4137,0.024
RF_platt,ece_10bin,0.0083,0.0179,0.0362,0.0074
RF_platt,brier,0.1107,0.1166,0.1224,0.0026
XGB,auroc,0.7839,0.7655,0.7416,0.0123
XGB,auprc,0.4958,0.4485,0.4074,0.0204
XGB,ece_10bin,0.1039,0.111,0.1217,0.0048
XGB,brier,0.134,0.1395,0.1453,0.0032
LR,auroc,0.7998,0.7715,0.7481,0.0141
LR,auprc,0.4985,0.4608,0.4123,0.0226
LR,ece_10bin,0.2433,0.2508,0.2595,0.004
LR,brier,0.1827,0.1893,0.1952,0.0033
LR_platt,auroc,0.7998,0.7715,0.7481,0.0141
LR_platt,auprc,0.4985,0.4608,0.4123,0.0226
LR_platt,ece_10bin,0.008,0.0166,0.0281,0.0053
LR_platt,brier,0.1127,0.1169,0.1225,0.0026
APACHE-IV,auroc,0.734,0.7029,0.6745,0.0155
APACHE-IV,auprc,0.4169,0.3778,0.3313,0.0209
APACHE-IV,ece_10bin,0.0488,0.0603,0.0735,0.0069
APACHE-IV,brier,0.1272,0.1334,0.1395,0.0034
